TYPE,TERM
mZ,oy-eΦeka
mFZD,oy-akno
mFBD,oy-akno
mMBD,wayamnu
mMZD,oy-akno
mFBS,oy-akno
mFZS,oy-akno
mMBS,oy-akno
mMZS,oy-akno
meB,oy-akno
myB,oy-akno
meZ,oy-eΦeka
myZ,oy-eΦeka
mFeBS,oy-akno
mFyBS,oy-akno
mFeZS,oy-akno
mFyZS,oy-akno
mFeBD,oy-akno
mFyBD,oy-akno
mFeZD,oy-akno
mFyZD,oy-akno
mMeBS,oy-akno
mMyBS,oy-akno
mMeZS,oy-akno
mMyZS,oy-akno
mMeBD,oy-akno
mMyBD,oy-akno
mMeZD,oy-akno
mMyZD,oy-akno
mFBeS,oy-akno
mFByS,oy-akno
mFZeS,oy-akno
mFZyS,oy-akno
mFBeD,oy-akno
mFByD,oy-akno
mFZeD,oy-akno
mFZyD,oy-akno
mMBeS,oy-akno
mMByS,oy-akno
mMZeS,oy-akno
mMZyS,oy-akno
mMBeD,oy-akno
mMByD,oy-akno
mMZeD,oy-akno
mMZyD,oy-akno
mFB,netsim
mFZ,netul
mMB,netsim
mMZ,netul
mFeB,netsim
mFyB,netsim
mFeZ,netul
mFyZ,netul
mMeZ,netul
mMyZ,netul
mMeB,netsim
mMyB,netsim
