TYPE,TERM
mZ,pói
meB,jóchi
myB,chío
meZ,chípi
myZ,chío
mFZD,ráncho
mFBD,ráncho
mMBD,ráncho
mMZD,ráncho
mFBS,jóncho
mFZS,jóncho
mMBS,jóncho
mMZS,cóco
mFeBS,jóncho
mFyBS,jóncho
mFeZS,jóncho
mFyZS,jóncho
mFeBD,ráncho
mFyBD,ráncho
mFeZD,ráncho
mFyZD,ráncho
mMeBS,jóncho
mMyBS,jóncho
mMeZS,cóco
mMyZS,cóco
mMeBD,ráncho
mMyBD,ráncho
mMeZD,ráncho
mMyZD,ráncho
mFBeS,jóncho
mFByS,jóncho
mFZeS,jóncho
mFZyS,jóncho
mFBeD,ráncho
mFByD,ráncho
mFZeD,ráncho
mFZyD,ráncho
mMBeS,jóncho
mMByS,jóncho
mMZeS,cóco
mMZyS,cóco
mMBeD,ráncho
mMByD,ráncho
mMZeD,ráncho
mMZyD,ráncho
mFB,papa
mFZ,pipi
mMB,-l-atɨ
mMZ,e'u
mFeB,papa
mFyB,papa
mFeZ,pipi
mFyZ,pipi
mMeZ,e'u
mMyZ,e'u
mMeB,-l-atɨ
mMyB,-l-atɨ
