TYPE,TERM
mB,dhagaan
meB,d̪aga:n
myB,galumaay
meZ,bawa(d̪i)
mZ,pakan
mFZD,ngaaki
mMBD,thaatha
mFZS,thaatha
mMBS,thaatha
mFeZS,thaatha
mFyZS,thaatha
mFeZD,ngaaki
mFyZD,ngaaki
mMeBS,thaatha
mMyBS,thaatha
mMeBD,thaatha
mMyBD,thaatha
mFZeS,thaatha
mFZyS,thaatha
mFZeD,ngaaki
mFZyD,ngaaki
mMBeD,thaatha
mMByD,thaatha
mMZeD,thaatha
mMZyD,thaatha
mMBeS,thaatha
mMByS,thaatha
myZ,d̪awuran
mFB,didtɨ šu
mFZ,didtɨ riši
mMB,nindɨ šu
mMZ,nindɨ riši
mFeB,didtɨ šu
mFyB,didtɨ šu
mFeZ,didtɨ riši
mFyZ,didtɨ riši
mMeZ,nindɨ riši
mMyZ,nindɨ riši
mMeB,nindɨ šu
mMyB,nindɨ šu
