TYPE,TERM
myB,mfo
meZ,dade
myZ,dade
mFZD,mzala
mFBD,dade
mMBD,mzala
mMZD,ukanina
mFBS,mfo
mFZS,mzala
mMBS,mzala
mMZS,ukanina
mFeBS,mfo
mFeBD,dade
mFyBS,mfo
mFeZS,mzala
mFyZS,mzala
mFyBD,dade
mFeZD,mzala
mFyZD,mzala
mMeBS,mzala
mMyBS,mzala
mMeZS,ukanina
mMyZS,ukanina
mMeBD,mzala
mMyBD,mzala
mMeZD,ukanina
mMyZD,ukanina
mFBeS,mfo
mFByS,mfo
mFZeS,mzala
mFZyS,mzala
mFBeD,dade
mFByD,dade
mFZeD,mzala
mFZyD,mzala
mMBeS,mzala
mMByS,mzala
mMZeS,ukanina
mMZyS,ukanina
mMBeD,mzala
mMByD,mzala
mMZeD,ukanina
mMZyD,ukanina
mFZ,sowdamma
mFeB,beddava
mFyB,nanno
mMeZ,beddamma
mMeB,menamama
mFeZ,sowdamma
mFyZ,sowdamma
