TYPE,TERM
mZ,sizar
meB,ve|l'l'
myB,ve|l'l'
meZ,čižoi
myZ,čižoi
mFBS,bratan
mFZS,bratan
mMBS,bratan
mMZS,bratan
mFeBS,bratan
mFyBS,bratan
mFeZS,bratan
mFyZS,bratan
mFeBD,sestrii
mFyBD,sestrii
mFeZD,sestrii
mFyZD,sestrii
mMeBS,bratan
mMyBS,bratan
mMeZS,bratan
mMyZS,bratan
mMeBD,sestrii
mMyBD,sestrii
mMeZD,sestrii
mMyZD,sestrii
mFBeS,bratan
mFByS,bratan
mFZeS,bratan
mFZyS,bratan
mFBeD,sestrii
mFByD,sestrii
mFZeD,sestrii
mFZyD,sestrii
mMBeS,bratan
mMByS,bratan
mMZeS,bratan
mMZyS,bratan
mMBeD,sestrii
mMByD,sestrii
mMZeD,sestrii
mMZyD,sestrii
mFB,tāyā
mFZ,bhūyā
mMB,māmū
mMZ,māsī
mFeB,tāyā
mFyB,tāyā
mFeZ,bhūyā
mFyZ,bhūyā
mMeZ,māsī
mMyZ,māsī
mMeB,māmū
mMyB,māmū
