TYPE,TERM
mZ,waas
myB,win yees
myZ,waas
mFZD,waas
mFBD,waas
mMBD,waas
mMZD,waas
mFBS,waas
mFZS,waas
mMBS,waas
mMZS,waas
meB,yees
meZ,waas
mFeBS,waas
mFyBS,waas
mFeZS,waas
mFyZS,waas
mFeBD,waas
mFyBD,waas
mFeZD,waas
mFyZD,waas
mMeBS,waas
mMyBS,waas
mMeZS,waas
mMyZS,waas
mMeBD,waas
mMyBD,waas
mMeZD,waas
mMyZD,waas
mFBeS,waas
mFByS,waas
mFZeS,waas
mFZyS,waas
mFBeD,waas
mFByD,waas
mFZeD,waas
mFZyD,waas
mMBeS,waas
mMByS,waas
mMZeS,waas
mMZyS,waas
mMBeD,waas
mMByD,waas
mMZeD,waas
mMZyD,waas
mFZ,sowdamma
mFeB,beddava
mFyB,nanno
mMeZ,beddamma
mMeB,menamama
mFeZ,sowdamma
mFyZ,sowdamma
