TYPE,TERM
mB,šu
mZ,riši
myB,kʼaʔdɨ šu
myZ,kʼaʔdɨ riši
mFZD,qʼuʕndɨ rišidbir
mFBD,qʼuʕndɨ rišidbir
mMBD,qʼuʕndɨ rišidbir
mMZD,qʼuʕndɨ rišidbir
mFBS,qʼuʕndɨ rišidbir
mFZS,qʼuʕndɨ rišidbir
mMBS,qʼuʕndɨ rišidbir
mMZS,qʼuʕndɨ rišidbir
meB,šu
meZ,riši
mFeBS,qʼuʕndɨ rišidbir
mFyBS,qʼuʕndɨ rišidbir
mFeZS,qʼuʕndɨ rišidbir
mFyZS,qʼuʕndɨ rišidbir
mFeBD,qʼuʕndɨ rišidbir
mFyBD,qʼuʕndɨ rišidbir
mFeZD,qʼuʕndɨ rišidbir
mFyZD,qʼuʕndɨ rišidbir
mMeBS,qʼuʕndɨ rišidbir
mMyBS,qʼuʕndɨ rišidbir
mMeZS,qʼuʕndɨ rišidbir
mMyZS,qʼuʕndɨ rišidbir
mMeBD,qʼuʕndɨ rišidbir
mMyBD,qʼuʕndɨ rišidbir
mMeZD,qʼuʕndɨ rišidbir
mMyZD,qʼuʕndɨ rišidbir
mFBeS,qʼuʕndɨ rišidbir
mFByS,qʼuʕndɨ rišidbir
mFZeS,qʼuʕndɨ rišidbir
mFZyS,qʼuʕndɨ rišidbir
mFBeD,qʼuʕndɨ rišidbir
mFByD,qʼuʕndɨ rišidbir
mFZeD,qʼuʕndɨ rišidbir
mFZyD,qʼuʕndɨ rišidbir
mMBeS,qʼuʕndɨ rišidbir
mMByS,qʼuʕndɨ rišidbir
mMZeS,qʼuʕndɨ rišidbir
mMZyS,qʼuʕndɨ rišidbir
mMBeD,qʼuʕndɨ rišidbir
mMByD,qʼuʕndɨ rišidbir
mMZeD,qʼuʕndɨ rišidbir
mMZyD,qʼuʕndɨ rišidbir
mFeB,amca
mFyB,amca
mFeZ,hala
mFyZ,hala
mMeB,dayı
mMyB,dayı
mMeZ,teyze
mMyZ,teyze
