TYPE,TERM
mZ,pói
meB,jóchi
myB,chío
meZ,chípi
myZ,chío
mFZD,ráncho
mFBD,ráncho
mMBD,ráncho
mMZD,ráncho
mFBS,jóncho
mFZS,jóncho
mMBS,jóncho
mMZS,cóco
mFeBS,jóncho
mFyBS,jóncho
mFeZS,jóncho
mFyZS,jóncho
mFeBD,ráncho
mFyBD,ráncho
mFeZD,ráncho
mFyZD,ráncho
mMeBS,jóncho
mMyBS,jóncho
mMeZS,cóco
mMyZS,cóco
mMeBD,ráncho
mMyBD,ráncho
mMeZD,ráncho
mMyZD,ráncho
mFBeS,jóncho
mFByS,jóncho
mFZeS,jóncho
mFZyS,jóncho
mFBeD,ráncho
mFByD,ráncho
mFZeD,ráncho
mFZyD,ráncho
mMBeS,jóncho
mMByS,jóncho
mMZeS,cóco
mMZyS,cóco
mMBeD,ráncho
mMByD,ráncho
mMZeD,ráncho
mMZyD,ráncho
mFB,didtɨ šu
mFZ,didtɨ riši
mMB,nindɨ šu
mMZ,nindɨ riši
mFeB,didtɨ šu
mFyB,didtɨ šu
mFeZ,didtɨ riši
mFyZ,didtɨ riši
mMeZ,nindɨ riši
mMyZ,nindɨ riši
mMeB,nindɨ šu
mMyB,nindɨ šu
