TYPE,TERM
mB,bhāyī
mZ,paiṇa
myB,nikka prā
myZ,nikkī paiṇa
mFZD,cacera (bhāi)
mFBD,cacera (bhāi)
mMBD,cacera (bhāi)
mMZD,cacera (bhāi)
mFBS,cacera (bhāi)
mFZS,cacera (bhāi)
mMBS,cacera (bhāi)
mMZS,cacera (bhāi)
meB,bhāyī
meZ,paiṇa
mFeBS,cacera (bhāi)
mFyBS,cacera (bhāi)
mFeZS,cacera (bhāi)
mFyZS,cacera (bhāi)
mFeBD,cacera (bhāi)
mFyBD,cacera (bhāi)
mFeZD,cacera (bhāi)
mFyZD,cacera (bhāi)
mMeBS,cacera (bhāi)
mMyBS,cacera (bhāi)
mMeZS,cacera (bhāi)
mMyZS,cacera (bhāi)
mMeBD,cacera (bhāi)
mMyBD,cacera (bhāi)
mMeZD,cacera (bhāi)
mMyZD,cacera (bhāi)
mFBeS,cacera (bhāi)
mFByS,cacera (bhāi)
mFZeS,cacera (bhāi)
mFZyS,cacera (bhāi)
mFBeD,cacera (bhāi)
mFByD,cacera (bhāi)
mFZeD,cacera (bhāi)
mFZyD,cacera (bhāi)
mMBeS,cacera (bhāi)
mMByS,cacera (bhāi)
mMZeS,cacera (bhāi)
mMZyS,cacera (bhāi)
mMBeD,cacera (bhāi)
mMByD,cacera (bhāi)
mMZeD,cacera (bhāi)
mMZyD,cacera (bhāi)
mFB,netsim
mFZ,netul
mMB,netsim
mMZ,netul
mFeB,netsim
mFyB,netsim
mFeZ,netul
mFyZ,netul
mMeZ,netul
mMyZ,netul
mMeB,netsim
mMyB,netsim
