LANGUAGE,GENDER,SET
language_2,"[1, 1]",150
language_3,"[1, 1]",150
language_4,"[1, 1]",150
language_5,"[1, 1]",150
language_6,"[1, 1]",150
language_7,"[1, 1]",150
language_8,"[1, 0]",150
language_9,"[1, 1]",150
language_10,"[1, 1]",150
language_11,"[1, 1]",150
language_13,"[1, 1]",150
language_14,"[1, 1]",150
language_15,"[1, 1]",150
language_16,"[1, 1]",150
language_17,"[1, 1]",150
language_18,"[1, 1]",150
language_20,"[1, 1]",150
language_21,"[1, 1]",150
language_22,"[0, 1]",150
language_24,"[1, 1]",150
language_25,"[1, 1]",150
language_26,"[0, 1]",150
language_27,"[1, 1]",150
language_28,"[1, 1]",150
language_29,"[1, 1]",150
language_30,"[1, 1]",150
language_31,"[1, 1]",150
language_32,"[1, 1]",150
language_33,"[1, 1]",150
language_35,"[1, 1]",150
language_36,"[1, 1]",150
language_40,"[0, 1]",150
language_41,"[1, 1]",150
language_43,"[0, 1]",150
language_44,"[1, 0]",150
language_45,"[0, 1]",150
language_46,"[1, 1]",150
language_47,"[0, 1]",150
language_48,"[1, 1]",150
language_49,"[0, 1]",150
language_50,"[1, 1]",150
language_51,"[1, 1]",150
language_52,"[1, 1]",150
language_53,"[1, 1]",150
language_55,"[1, 1]",150
language_56,"[1, 1]",150
language_57,"[1, 0]",150
language_58,"[1, 0]",150
language_59,"[1, 1]",150
language_60,"[1, 1]",150
language_62,"[1, 1]",150
language_63,"[1, 1]",150
language_64,"[1, 1]",150
language_65,"[1, 1]",150
language_66,"[1, 1]",150
language_67,"[1, 1]",150
language_68,"[0, 1]",150
language_69,"[1, 1]",150
language_70,"[1, 1]",150
language_71,"[1, 1]",150
language_72,"[1, 1]",150
language_73,"[1, 1]",150
language_74,"[1, 1]",150
language_75,"[0, 1]",150
language_76,"[1, 0]",150
language_77,"[1, 1]",150
language_78,"[1, 1]",150
language_79,"[1, 1]",150
language_81,"[1, 0]",150
language_82,"[1, 1]",150
language_83,"[1, 0]",150
language_84,"[1, 1]",150
language_85,"[1, 1]",150
language_86,"[1, 1]",150
language_87,"[1, 0]",150
language_88,"[1, 1]",150
language_89,"[1, 1]",150
language_90,"[1, 1]",150
language_91,"[1, 1]",150
language_92,"[1, 1]",150
language_93,"[1, 1]",150
language_94,"[0, 1]",150
language_95,"[0, 1]",150
language_96,"[1, 1]",150
language_97,"[1, 1]",150
language_98,"[1, 1]",150
language_99,"[1, 1]",150
language_100,"[1, 1]",150
language_101,"[0, 1]",150
language_102,"[1, 1]",150
language_103,"[1, 1]",150
language_104,"[1, 1]",150
language_105,"[1, 0]",150
language_106,"[1, 1]",150
language_107,"[1, 1]",150
language_108,"[1, 1]",150
language_109,"[1, 1]",150
language_110,"[1, 1]",150
language_112,"[1, 1]",150
language_113,"[0, 1]",150
language_114,"[1, 1]",150
language_115,"[1, 0]",150
language_117,"[1, 1]",150
language_118,"[1, 1]",150
language_119,"[1, 1]",150
language_120,"[1, 1]",150
language_121,"[1, 1]",150
language_122,"[1, 1]",150
language_123,"[1, 1]",150
language_124,"[1, 1]",150
language_125,"[1, 1]",150
language_126,"[1, 1]",150
language_127,"[1, 1]",150
language_128,"[1, 1]",150
language_129,"[1, 1]",150
language_130,"[1, 0]",150
