LANGUAGE,GENDER,SET
language_1,"[1, 1]",489
language_2,"[0, 1]",489
language_3,"[1, 0]",489
language_4,"[0, 1]",489
language_5,"[0, 1]",489
language_6,"[1, 1]",489
language_7,"[1, 1]",489
language_8,"[1, 1]",489
language_9,"[1, 1]",489
language_10,"[1, 1]",489
language_11,"[1, 1]",489
language_12,"[1, 1]",489
language_13,"[1, 1]",489
language_14,"[1, 0]",489
language_15,"[1, 1]",489
language_16,"[1, 1]",489
language_17,"[1, 1]",489
language_18,"[1, 1]",489
language_20,"[1, 1]",489
language_21,"[1, 1]",489
language_22,"[1, 1]",489
language_23,"[0, 1]",489
language_24,"[1, 1]",489
language_25,"[1, 1]",489
language_26,"[1, 1]",489
language_29,"[1, 1]",489
language_30,"[1, 1]",489
language_31,"[1, 1]",489
language_32,"[1, 1]",489
language_33,"[1, 1]",489
language_34,"[0, 0]",489
language_35,"[1, 1]",489
language_36,"[1, 0]",489
language_37,"[0, 1]",489
language_38,"[0, 1]",489
language_39,"[1, 1]",489
language_40,"[1, 1]",489
language_41,"[1, 1]",489
language_42,"[1, 1]",489
language_43,"[0, 1]",489
language_44,"[1, 1]",489
language_45,"[1, 1]",489
language_46,"[1, 1]",489
language_47,"[1, 1]",489
language_48,"[1, 1]",489
language_49,"[1, 1]",489
language_50,"[0, 1]",489
language_51,"[1, 1]",489
language_52,"[1, 0]",489
language_53,"[1, 1]",489
language_54,"[1, 1]",489
language_55,"[0, 1]",489
language_56,"[1, 1]",489
language_57,"[1, 1]",489
language_58,"[1, 1]",489
language_60,"[1, 1]",489
language_61,"[1, 0]",489
language_62,"[1, 1]",489
language_63,"[1, 1]",489
language_64,"[1, 1]",489
language_65,"[1, 1]",489
language_66,"[1, 1]",489
language_67,"[1, 1]",489
language_68,"[1, 1]",489
language_69,"[0, 0]",489
language_70,"[1, 1]",489
language_71,"[1, 1]",489
language_72,"[1, 1]",489
language_73,"[1, 1]",489
language_74,"[1, 1]",489
language_75,"[1, 1]",489
language_76,"[1, 1]",489
language_77,"[0, 1]",489
language_78,"[1, 1]",489
language_79,"[0, 1]",489
language_81,"[1, 1]",489
language_82,"[1, 0]",489
language_83,"[1, 1]",489
language_84,"[1, 1]",489
language_85,"[1, 1]",489
language_86,"[1, 1]",489
language_87,"[1, 1]",489
language_88,"[0, 1]",489
language_89,"[1, 1]",489
language_90,"[1, 1]",489
language_91,"[1, 1]",489
language_92,"[1, 1]",489
language_93,"[1, 1]",489
language_94,"[1, 1]",489
language_95,"[1, 1]",489
language_96,"[1, 1]",489
language_98,"[1, 1]",489
language_99,"[1, 1]",489
language_100,"[1, 1]",489
language_101,"[1, 1]",489
language_102,"[1, 1]",489
language_103,"[1, 1]",489
language_104,"[1, 1]",489
language_105,"[1, 1]",489
language_106,"[1, 1]",489
language_107,"[1, 1]",489
language_108,"[1, 1]",489
language_109,"[1, 1]",489
language_110,"[1, 1]",489
language_111,"[1, 1]",489
language_112,"[1, 0]",489
language_113,"[1, 1]",489
language_114,"[1, 1]",489
language_115,"[1, 1]",489
language_116,"[1, 1]",489
language_117,"[1, 1]",489
language_118,"[1, 1]",489
language_119,"[1, 1]",489
language_120,"[1, 1]",489
language_121,"[0, 1]",489
language_122,"[1, 1]",489
language_123,"[1, 1]",489
language_124,"[1, 1]",489
language_125,"[1, 1]",489
language_126,"[1, 1]",489
language_127,"[1, 1]",489
language_128,"[1, 0]",489
language_129,"[1, 1]",489
language_130,"[1, 1]",489
language_131,"[1, 1]",489
language_132,"[1, 1]",489
language_133,"[1, 1]",489
language_134,"[1, 1]",489
language_135,"[1, 1]",489
language_136,"[1, 0]",489
language_137,"[1, 1]",489
language_139,"[1, 1]",489
language_140,"[1, 1]",489
language_141,"[1, 1]",489
language_142,"[1, 1]",489
language_143,"[1, 1]",489
language_144,"[1, 1]",489
language_146,"[0, 1]",489
language_147,"[1, 1]",489
language_148,"[1, 1]",489
language_149,"[1, 1]",489
language_150,"[1, 1]",489
language_151,"[1, 1]",489
language_152,"[1, 1]",489
language_153,"[1, 1]",489
language_154,"[0, 0]",489
language_155,"[1, 1]",489
language_156,"[1, 1]",489
language_157,"[1, 0]",489
language_158,"[1, 1]",489
language_159,"[0, 1]",489
language_160,"[1, 1]",489
language_161,"[1, 1]",489
language_162,"[1, 1]",489
language_163,"[0, 1]",489
language_164,"[1, 1]",489
language_165,"[1, 1]",489
language_166,"[0, 1]",489
language_167,"[1, 1]",489
language_168,"[1, 1]",489
language_169,"[1, 1]",489
language_171,"[1, 1]",489
language_172,"[1, 1]",489
language_173,"[0, 1]",489
language_174,"[1, 1]",489
language_175,"[1, 1]",489
language_176,"[1, 1]",489
language_177,"[1, 1]",489
language_178,"[1, 1]",489
language_179,"[1, 1]",489
language_180,"[1, 1]",489
language_181,"[1, 1]",489
language_182,"[1, 1]",489
language_183,"[1, 1]",489
language_184,"[1, 1]",489
language_185,"[0, 1]",489
language_186,"[1, 1]",489
language_187,"[1, 1]",489
language_188,"[1, 1]",489
language_189,"[0, 1]",489
language_190,"[1, 1]",489
language_192,"[1, 1]",489
language_193,"[1, 1]",489
language_194,"[1, 1]",489
language_195,"[1, 1]",489
language_196,"[1, 1]",489
language_197,"[1, 1]",489
language_198,"[1, 1]",489
language_199,"[0, 0]",489
language_200,"[1, 1]",489
language_201,"[1, 1]",489
language_202,"[1, 1]",489
language_203,"[1, 1]",489
language_204,"[1, 1]",489
language_205,"[1, 1]",489
language_206,"[1, 1]",489
language_207,"[1, 1]",489
language_208,"[1, 1]",489
language_209,"[1, 1]",489
language_210,"[1, 1]",489
language_211,"[1, 1]",489
language_212,"[0, 1]",489
language_213,"[1, 1]",489
language_214,"[1, 1]",489
language_215,"[1, 1]",489
language_217,"[1, 0]",489
language_218,"[1, 1]",489
language_219,"[1, 1]",489
language_220,"[0, 1]",489
language_221,"[1, 1]",489
language_222,"[1, 1]",489
language_224,"[1, 0]",489
language_225,"[1, 1]",489
language_226,"[1, 1]",489
language_227,"[1, 0]",489
language_228,"[1, 1]",489
language_229,"[1, 1]",489
language_230,"[1, 1]",489
language_232,"[1, 1]",489
language_233,"[1, 1]",489
language_234,"[1, 1]",489
language_235,"[1, 1]",489
language_236,"[1, 1]",489
language_237,"[1, 1]",489
language_238,"[1, 1]",489
language_239,"[1, 1]",489
language_240,"[1, 1]",489
language_241,"[1, 1]",489
language_242,"[1, 1]",489
language_243,"[1, 1]",489
language_244,"[1, 1]",489
language_245,"[1, 1]",489
language_246,"[1, 1]",489
language_247,"[1, 1]",489
language_248,"[1, 1]",489
language_249,"[1, 1]",489
language_250,"[1, 1]",489
language_251,"[1, 1]",489
language_252,"[1, 1]",489
language_254,"[1, 1]",489
language_256,"[1, 1]",489
language_257,"[0, 1]",489
language_258,"[1, 1]",489
language_259,"[1, 1]",489
language_260,"[1, 1]",489
language_261,"[1, 0]",489
language_262,"[1, 1]",489
language_263,"[1, 1]",489
language_264,"[1, 1]",489
language_265,"[1, 1]",489
language_266,"[1, 1]",489
language_267,"[1, 1]",489
language_268,"[1, 1]",489
language_269,"[0, 1]",489
language_270,"[1, 1]",489
language_271,"[1, 1]",489
language_272,"[1, 1]",489
language_273,"[1, 1]",489
language_274,"[1, 1]",489
language_275,"[1, 1]",489
language_276,"[1, 1]",489
language_277,"[1, 1]",489
language_278,"[1, 1]",489
language_279,"[1, 1]",489
language_283,"[1, 1]",489
language_285,"[1, 1]",489
language_286,"[1, 1]",489
language_287,"[1, 1]",489
language_288,"[1, 1]",489
language_289,"[1, 1]",489
language_290,"[1, 1]",489
language_291,"[1, 1]",489
language_292,"[1, 1]",489
language_294,"[1, 1]",489
language_295,"[1, 1]",489
language_296,"[1, 0]",489
language_297,"[1, 1]",489
language_298,"[0, 1]",489
language_299,"[0, 1]",489
language_300,"[1, 1]",489
language_301,"[1, 1]",489
language_302,"[1, 1]",489
language_303,"[1, 1]",489
language_304,"[1, 1]",489
language_305,"[1, 1]",489
language_306,"[1, 1]",489
language_310,"[1, 1]",489
language_311,"[1, 1]",489
language_312,"[1, 1]",489
language_313,"[1, 1]",489
language_314,"[1, 1]",489
language_316,"[1, 1]",489
language_317,"[1, 1]",489
language_318,"[1, 1]",489
language_319,"[1, 1]",489
language_320,"[1, 1]",489
language_321,"[1, 1]",489
language_322,"[1, 1]",489
language_323,"[1, 1]",489
language_325,"[1, 1]",489
language_326,"[1, 1]",489
language_327,"[1, 1]",489
language_328,"[1, 1]",489
language_329,"[1, 1]",489
language_330,"[1, 1]",489
language_331,"[0, 1]",489
language_332,"[1, 1]",489
language_333,"[1, 1]",489
language_334,"[1, 0]",489
language_335,"[1, 1]",489
language_336,"[1, 1]",489
language_337,"[1, 1]",489
language_338,"[1, 1]",489
language_339,"[1, 1]",489
language_340,"[1, 1]",489
language_342,"[1, 1]",489
language_343,"[1, 1]",489
language_344,"[1, 1]",489
language_345,"[1, 1]",489
language_347,"[1, 1]",489
language_348,"[1, 1]",489
language_349,"[1, 1]",489
language_350,"[1, 1]",489
language_351,"[1, 1]",489
language_352,"[1, 1]",489
language_353,"[1, 1]",489
language_354,"[1, 1]",489
language_355,"[1, 1]",489
language_356,"[1, 1]",489
language_357,"[1, 1]",489
language_358,"[1, 0]",489
language_359,"[1, 1]",489
language_360,"[1, 1]",489
language_362,"[1, 1]",489
language_363,"[1, 1]",489
language_364,"[1, 1]",489
language_366,"[1, 1]",489
language_367,"[1, 1]",489
language_368,"[0, 1]",489
language_369,"[1, 1]",489
language_370,"[1, 1]",489
language_371,"[1, 1]",489
language_372,"[1, 1]",489
language_373,"[1, 1]",489
language_374,"[1, 1]",489
language_375,"[1, 1]",489
language_376,"[1, 1]",489
language_377,"[1, 1]",489
language_378,"[1, 1]",489
language_379,"[1, 1]",489
language_380,"[1, 1]",489
language_382,"[1, 1]",489
language_383,"[1, 1]",489
language_384,"[1, 1]",489
language_385,"[1, 1]",489
language_386,"[1, 1]",489
language_387,"[1, 1]",489
language_388,"[1, 1]",489
language_390,"[1, 1]",489
language_391,"[1, 1]",489
language_392,"[1, 1]",489
language_393,"[0, 1]",489
language_394,"[1, 1]",489
language_395,"[1, 1]",489
language_396,"[1, 1]",489
language_397,"[1, 1]",489
language_398,"[0, 1]",489
language_399,"[1, 1]",489
language_400,"[1, 1]",489
language_401,"[1, 1]",489
language_402,"[1, 1]",489
language_404,"[1, 1]",489
language_405,"[1, 1]",489
language_406,"[1, 1]",489
language_407,"[1, 1]",489
language_408,"[1, 0]",489
language_409,"[1, 1]",489
language_410,"[1, 1]",489
language_411,"[1, 1]",489
language_412,"[1, 1]",489
language_413,"[1, 1]",489
language_414,"[1, 1]",489
language_415,"[1, 1]",489
language_416,"[1, 1]",489
language_417,"[1, 1]",489
language_418,"[1, 1]",489
language_419,"[1, 1]",489
language_420,"[1, 1]",489
language_421,"[1, 1]",489
language_422,"[1, 1]",489
language_423,"[1, 1]",489
language_424,"[1, 1]",489
language_425,"[1, 1]",489
language_427,"[1, 1]",489
language_428,"[0, 1]",489
language_429,"[1, 1]",489
language_430,"[1, 1]",489
language_431,"[1, 1]",489
language_432,"[1, 1]",489
language_433,"[0, 1]",489
language_434,"[1, 1]",489
language_435,"[1, 1]",489
language_436,"[1, 1]",489
language_437,"[1, 1]",489
language_438,"[0, 1]",489
language_439,"[0, 1]",489
language_440,"[1, 1]",489
language_441,"[1, 1]",489
language_442,"[1, 1]",489
language_443,"[1, 1]",489
language_444,"[1, 1]",489
language_445,"[1, 1]",489
language_446,"[1, 1]",489
language_447,"[1, 1]",489
language_448,"[1, 1]",489
language_449,"[0, 1]",489
language_450,"[1, 1]",489
language_451,"[1, 1]",489
language_452,"[1, 1]",489
language_454,"[1, 1]",489
language_455,"[1, 1]",489
language_456,"[1, 1]",489
language_457,"[1, 1]",489
language_458,"[1, 1]",489
language_459,"[1, 1]",489
language_460,"[1, 1]",489
language_462,"[1, 1]",489
language_464,"[1, 1]",489
language_465,"[1, 1]",489
language_466,"[1, 1]",489
language_467,"[1, 1]",489
language_468,"[1, 1]",489
language_469,"[1, 1]",489
language_470,"[1, 1]",489
language_471,"[1, 1]",489
language_472,"[1, 1]",489
language_473,"[1, 1]",489
language_474,"[1, 1]",489
language_475,"[1, 1]",489
