LANGUAGE,GENDER,SET
language_1,"[1, 1]",69
language_2,"[1, 1]",69
language_3,"[1, 1]",69
language_4,"[1, 1]",69
language_5,"[1, 1]",69
language_6,"[1, 1]",69
language_7,"[1, 1]",69
language_8,"[0, 1]",69
language_9,"[1, 1]",69
language_10,"[1, 1]",69
language_11,"[1, 1]",69
language_12,"[1, 0]",69
language_14,"[1, 1]",69
language_15,"[1, 1]",69
language_16,"[1, 1]",69
language_17,"[1, 1]",69
language_18,"[1, 1]",69
language_19,"[1, 1]",69
language_20,"[1, 1]",69
language_21,"[1, 1]",69
language_22,"[0, 0]",69
language_23,"[1, 1]",69
language_24,"[1, 1]",69
language_25,"[1, 1]",69
language_26,"[1, 0]",69
language_27,"[1, 1]",69
language_28,"[1, 1]",69
language_29,"[1, 1]",69
language_30,"[1, 1]",69
language_31,"[1, 1]",69
language_32,"[1, 1]",69
language_33,"[1, 1]",69
language_34,"[0, 1]",69
language_35,"[1, 1]",69
language_36,"[1, 1]",69
language_37,"[1, 1]",69
language_38,"[1, 1]",69
language_39,"[1, 1]",69
language_40,"[1, 1]",69
language_41,"[1, 1]",69
language_42,"[1, 1]",69
language_43,"[1, 1]",69
language_44,"[1, 1]",69
language_45,"[1, 1]",69
language_46,"[1, 1]",69
language_47,"[1, 1]",69
language_48,"[1, 1]",69
language_49,"[1, 1]",69
language_50,"[1, 1]",69
language_51,"[1, 1]",69
language_52,"[1, 1]",69
language_53,"[1, 1]",69
language_54,"[1, 1]",69
language_55,"[0, 1]",69
language_56,"[1, 1]",69
language_57,"[0, 1]",69
language_59,"[1, 1]",69
language_60,"[1, 1]",69
language_61,"[1, 1]",69
language_62,"[1, 1]",69
language_63,"[1, 0]",69
language_65,"[1, 1]",69
language_66,"[1, 1]",69
language_67,"[1, 1]",69
language_68,"[1, 1]",69
language_69,"[1, 1]",69
language_70,"[1, 1]",69
language_71,"[1, 1]",69
language_72,"[1, 1]",69
language_73,"[1, 1]",69
language_74,"[1, 1]",69
language_75,"[0, 0]",69
language_76,"[1, 1]",69
language_77,"[1, 1]",69
language_78,"[1, 1]",69
language_79,"[0, 1]",69
language_80,"[1, 1]",69
language_81,"[1, 1]",69
language_83,"[1, 1]",69
language_84,"[1, 1]",69
language_85,"[1, 1]",69
language_86,"[1, 1]",69
language_87,"[0, 1]",69
language_88,"[1, 1]",69
language_89,"[1, 1]",69
language_90,"[1, 1]",69
language_91,"[1, 1]",69
language_92,"[1, 1]",69
language_93,"[1, 1]",69
language_94,"[1, 1]",69
language_95,"[1, 1]",69
language_96,"[1, 1]",69
language_97,"[1, 1]",69
language_98,"[1, 0]",69
language_100,"[1, 1]",69
language_101,"[1, 1]",69
language_102,"[1, 1]",69
language_103,"[1, 0]",69
language_105,"[1, 1]",69
language_106,"[1, 1]",69
language_107,"[1, 1]",69
language_108,"[1, 1]",69
language_109,"[1, 1]",69
language_110,"[1, 1]",69
language_111,"[1, 1]",69
language_112,"[1, 1]",69
language_113,"[1, 1]",69
language_114,"[0, 1]",69
language_115,"[0, 1]",69
language_116,"[1, 1]",69
language_117,"[0, 1]",69
language_118,"[1, 1]",69
language_119,"[1, 1]",69
language_120,"[1, 1]",69
language_121,"[0, 1]",69
language_122,"[0, 1]",69
language_123,"[1, 1]",69
language_124,"[0, 1]",69
language_125,"[1, 1]",69
language_126,"[1, 1]",69
language_127,"[1, 1]",69
language_128,"[1, 1]",69
language_129,"[1, 1]",69
language_130,"[1, 1]",69
language_131,"[1, 1]",69
language_132,"[1, 1]",69
language_133,"[1, 0]",69
language_134,"[1, 0]",69
language_135,"[1, 1]",69
language_136,"[1, 1]",69
language_137,"[1, 1]",69
language_138,"[1, 1]",69
language_140,"[1, 1]",69
language_141,"[1, 1]",69
language_142,"[1, 1]",69
language_143,"[1, 1]",69
language_144,"[1, 1]",69
language_145,"[1, 0]",69
language_146,"[1, 1]",69
language_147,"[1, 0]",69
language_149,"[1, 1]",69
language_150,"[1, 1]",69
language_151,"[1, 1]",69
language_152,"[1, 1]",69
language_153,"[1, 1]",69
language_154,"[1, 1]",69
language_155,"[1, 1]",69
language_156,"[1, 1]",69
language_157,"[1, 1]",69
language_158,"[0, 1]",69
language_159,"[1, 1]",69
language_160,"[1, 1]",69
language_161,"[1, 1]",69
language_162,"[1, 1]",69
language_163,"[1, 1]",69
language_164,"[1, 1]",69
language_165,"[1, 1]",69
language_166,"[1, 1]",69
language_167,"[1, 1]",69
language_168,"[1, 1]",69
language_169,"[1, 1]",69
language_170,"[1, 1]",69
language_171,"[1, 1]",69
language_172,"[1, 1]",69
language_173,"[1, 0]",69
language_174,"[0, 1]",69
language_175,"[1, 1]",69
language_176,"[1, 1]",69
language_177,"[0, 1]",69
language_178,"[1, 1]",69
language_179,"[1, 1]",69
language_180,"[1, 0]",69
language_181,"[1, 1]",69
language_183,"[1, 1]",69
language_184,"[1, 0]",69
language_185,"[1, 1]",69
language_186,"[1, 1]",69
language_187,"[1, 1]",69
language_188,"[1, 1]",69
language_189,"[1, 1]",69
language_190,"[1, 1]",69
language_191,"[1, 1]",69
language_192,"[1, 1]",69
language_193,"[1, 1]",69
language_194,"[0, 1]",69
language_195,"[1, 0]",69
language_196,"[1, 0]",69
language_197,"[1, 1]",69
language_198,"[1, 1]",69
language_200,"[1, 1]",69
language_202,"[1, 1]",69
language_203,"[1, 1]",69
language_204,"[1, 1]",69
language_205,"[1, 1]",69
language_207,"[1, 1]",69
language_208,"[1, 1]",69
language_209,"[1, 1]",69
language_210,"[1, 1]",69
language_211,"[1, 1]",69
language_212,"[1, 1]",69
language_213,"[1, 1]",69
language_214,"[1, 1]",69
language_215,"[0, 1]",69
language_217,"[1, 1]",69
language_218,"[1, 1]",69
language_219,"[1, 1]",69
language_220,"[1, 1]",69
language_221,"[1, 1]",69
language_223,"[1, 1]",69
language_224,"[1, 1]",69
language_225,"[1, 1]",69
language_226,"[1, 1]",69
language_227,"[1, 1]",69
language_228,"[1, 1]",69
language_229,"[1, 0]",69
language_230,"[1, 1]",69
language_231,"[1, 1]",69
language_232,"[1, 0]",69
language_233,"[1, 1]",69
language_235,"[1, 0]",69
language_236,"[1, 1]",69
language_237,"[1, 1]",69
language_238,"[1, 1]",69
language_239,"[0, 1]",69
language_240,"[1, 1]",69
language_241,"[1, 1]",69
language_242,"[1, 1]",69
language_243,"[1, 1]",69
language_244,"[1, 1]",69
language_245,"[1, 1]",69
language_246,"[1, 1]",69
language_247,"[0, 1]",69
language_249,"[1, 1]",69
language_250,"[1, 1]",69
language_251,"[1, 1]",69
language_252,"[1, 1]",69
language_254,"[1, 1]",69
language_255,"[1, 1]",69
language_256,"[1, 0]",69
language_257,"[1, 1]",69
language_258,"[1, 1]",69
language_259,"[1, 1]",69
language_260,"[1, 1]",69
language_261,"[1, 0]",69
language_262,"[1, 1]",69
language_263,"[1, 1]",69
language_264,"[1, 1]",69
language_265,"[1, 0]",69
language_266,"[1, 1]",69
language_267,"[1, 1]",69
language_268,"[1, 1]",69
language_269,"[1, 1]",69
language_270,"[1, 0]",69
language_271,"[1, 1]",69
language_272,"[0, 1]",69
language_273,"[1, 1]",69
language_274,"[1, 1]",69
language_275,"[0, 1]",69
language_276,"[1, 1]",69
language_277,"[1, 1]",69
language_278,"[1, 0]",69
language_279,"[1, 1]",69
language_280,"[1, 1]",69
language_281,"[0, 1]",69
language_282,"[1, 1]",69
language_283,"[1, 1]",69
language_284,"[1, 1]",69
language_285,"[1, 1]",69
language_288,"[1, 1]",69
language_289,"[1, 1]",69
language_290,"[1, 1]",69
language_291,"[1, 1]",69
language_292,"[1, 1]",69
language_293,"[1, 1]",69
language_294,"[1, 1]",69
language_295,"[1, 1]",69
language_296,"[1, 1]",69
language_297,"[1, 1]",69
language_299,"[1, 1]",69
language_300,"[1, 1]",69
language_301,"[1, 1]",69
language_302,"[1, 0]",69
language_303,"[1, 1]",69
language_304,"[1, 1]",69
language_305,"[1, 1]",69
language_306,"[1, 1]",69
language_307,"[1, 1]",69
language_308,"[1, 1]",69
language_309,"[1, 1]",69
language_310,"[1, 1]",69
language_311,"[1, 0]",69
language_312,"[1, 1]",69
language_313,"[1, 1]",69
language_314,"[1, 1]",69
language_315,"[1, 1]",69
language_316,"[1, 1]",69
language_317,"[1, 1]",69
language_318,"[1, 1]",69
language_319,"[1, 1]",69
language_320,"[1, 1]",69
language_321,"[0, 1]",69
language_322,"[1, 1]",69
language_323,"[1, 1]",69
language_324,"[1, 1]",69
language_325,"[0, 1]",69
language_326,"[1, 1]",69
language_327,"[1, 1]",69
language_328,"[1, 1]",69
language_329,"[0, 1]",69
language_330,"[1, 1]",69
language_331,"[1, 1]",69
language_332,"[1, 1]",69
language_334,"[0, 1]",69
language_335,"[1, 1]",69
language_337,"[1, 1]",69
language_338,"[1, 1]",69
language_339,"[1, 1]",69
language_340,"[1, 1]",69
language_341,"[1, 1]",69
language_342,"[1, 1]",69
language_343,"[0, 1]",69
language_344,"[0, 1]",69
language_345,"[1, 1]",69
language_346,"[0, 1]",69
language_347,"[1, 1]",69
language_348,"[0, 1]",69
language_350,"[1, 1]",69
language_351,"[1, 1]",69
language_352,"[0, 1]",69
language_353,"[1, 0]",69
language_354,"[1, 1]",69
language_355,"[1, 1]",69
language_356,"[1, 0]",69
language_357,"[1, 0]",69
language_358,"[1, 1]",69
language_359,"[1, 1]",69
language_360,"[1, 0]",69
language_362,"[1, 1]",69
language_363,"[1, 1]",69
language_364,"[0, 1]",69
language_365,"[1, 1]",69
language_366,"[1, 1]",69
language_367,"[1, 1]",69
language_368,"[1, 1]",69
language_369,"[1, 1]",69
language_370,"[1, 1]",69
language_371,"[1, 1]",69
language_373,"[1, 1]",69
language_374,"[1, 1]",69
language_375,"[1, 1]",69
language_376,"[1, 1]",69
language_378,"[0, 1]",69
language_379,"[1, 1]",69
language_380,"[1, 0]",69
language_382,"[0, 1]",69
language_383,"[1, 1]",69
language_384,"[1, 1]",69
language_385,"[1, 1]",69
language_386,"[1, 1]",69
language_387,"[1, 1]",69
language_388,"[1, 1]",69
language_389,"[1, 1]",69
language_390,"[1, 1]",69
language_391,"[1, 1]",69
language_392,"[1, 1]",69
language_394,"[1, 1]",69
language_395,"[1, 1]",69
language_396,"[1, 1]",69
language_397,"[1, 1]",69
language_398,"[1, 1]",69
language_399,"[1, 1]",69
language_400,"[1, 1]",69
language_401,"[1, 1]",69
language_402,"[1, 1]",69
language_403,"[1, 1]",69
language_404,"[1, 1]",69
language_406,"[1, 1]",69
language_407,"[1, 1]",69
language_408,"[1, 1]",69
language_409,"[1, 1]",69
language_410,"[1, 1]",69
language_411,"[1, 1]",69
language_412,"[1, 1]",69
language_413,"[1, 1]",69
language_414,"[1, 1]",69
language_415,"[0, 1]",69
language_416,"[1, 1]",69
language_417,"[1, 1]",69
language_418,"[1, 1]",69
language_420,"[0, 1]",69
language_421,"[1, 1]",69
language_422,"[1, 1]",69
language_423,"[1, 1]",69
language_424,"[1, 1]",69
language_425,"[1, 0]",69
language_426,"[1, 1]",69
language_427,"[0, 1]",69
language_428,"[1, 1]",69
language_429,"[1, 1]",69
language_430,"[1, 1]",69
language_431,"[1, 1]",69
language_432,"[1, 1]",69
language_433,"[1, 0]",69
language_434,"[1, 0]",69
language_435,"[1, 1]",69
language_436,"[1, 1]",69
language_437,"[1, 1]",69
language_438,"[1, 1]",69
language_439,"[1, 1]",69
language_440,"[1, 0]",69
language_441,"[1, 1]",69
language_442,"[0, 1]",69
language_444,"[1, 1]",69
language_445,"[1, 1]",69
language_447,"[1, 1]",69
language_448,"[0, 1]",69
language_449,"[1, 1]",69
language_450,"[1, 1]",69
language_451,"[1, 1]",69
language_452,"[1, 1]",69
language_453,"[1, 0]",69
language_454,"[1, 1]",69
language_455,"[1, 1]",69
language_456,"[1, 1]",69
language_457,"[1, 1]",69
language_458,"[1, 1]",69
language_459,"[1, 1]",69
language_460,"[1, 1]",69
language_461,"[1, 1]",69
language_462,"[1, 1]",69
language_464,"[1, 1]",69
language_465,"[1, 1]",69
language_466,"[1, 1]",69
language_467,"[0, 1]",69
language_468,"[1, 0]",69
language_471,"[1, 1]",69
language_472,"[1, 1]",69
language_473,"[1, 1]",69
language_474,"[1, 1]",69
language_475,"[1, 1]",69
language_476,"[0, 0]",69
language_477,"[1, 1]",69
