LANGUAGE,GENDER,SET
language_1,"[1, 1]",745
language_2,"[1, 1]",745
language_3,"[1, 1]",745
language_4,"[1, 1]",745
language_5,"[1, 1]",745
language_6,"[1, 1]",745
language_7,"[1, 1]",745
language_8,"[1, 1]",745
language_9,"[0, 1]",745
language_10,"[1, 1]",745
language_11,"[1, 1]",745
language_12,"[1, 1]",745
language_13,"[1, 1]",745
language_14,"[1, 1]",745
language_15,"[1, 1]",745
language_16,"[1, 1]",745
language_17,"[1, 0]",745
language_18,"[1, 1]",745
language_19,"[0, 1]",745
language_21,"[1, 1]",745
language_22,"[1, 1]",745
language_23,"[0, 1]",745
language_24,"[1, 1]",745
language_25,"[1, 1]",745
language_26,"[1, 1]",745
language_27,"[1, 1]",745
language_28,"[0, 1]",745
language_29,"[1, 1]",745
language_30,"[1, 1]",745
language_31,"[1, 1]",745
language_32,"[1, 1]",745
language_33,"[1, 1]",745
language_34,"[1, 1]",745
language_35,"[0, 1]",745
language_36,"[1, 1]",745
language_37,"[1, 1]",745
language_38,"[1, 1]",745
language_39,"[1, 1]",745
language_40,"[0, 1]",745
language_41,"[1, 1]",745
language_42,"[1, 1]",745
language_43,"[1, 1]",745
language_44,"[1, 1]",745
language_46,"[1, 1]",745
language_47,"[1, 1]",745
language_48,"[0, 1]",745
language_49,"[1, 1]",745
language_50,"[1, 1]",745
language_51,"[0, 1]",745
language_52,"[1, 1]",745
language_53,"[1, 0]",745
language_54,"[1, 0]",745
language_55,"[0, 1]",745
language_56,"[1, 0]",745
language_57,"[1, 1]",745
language_58,"[1, 1]",745
language_59,"[1, 1]",745
language_60,"[1, 1]",745
language_62,"[1, 1]",745
language_63,"[1, 1]",745
language_64,"[1, 1]",745
language_65,"[1, 1]",745
language_66,"[1, 1]",745
language_67,"[1, 1]",745
language_68,"[1, 1]",745
language_69,"[0, 1]",745
language_70,"[1, 1]",745
language_71,"[0, 1]",745
language_72,"[1, 1]",745
language_73,"[1, 1]",745
language_74,"[1, 1]",745
language_75,"[1, 1]",745
language_76,"[1, 1]",745
language_77,"[1, 0]",745
language_78,"[1, 1]",745
language_79,"[0, 1]",745
language_80,"[1, 1]",745
language_81,"[1, 1]",745
language_82,"[1, 1]",745
language_83,"[1, 1]",745
language_84,"[0, 1]",745
language_85,"[1, 1]",745
language_86,"[1, 1]",745
language_87,"[0, 1]",745
language_88,"[1, 1]",745
language_89,"[1, 1]",745
language_90,"[1, 1]",745
language_91,"[1, 1]",745
language_92,"[1, 1]",745
language_93,"[1, 1]",745
language_94,"[1, 1]",745
language_95,"[1, 1]",745
language_96,"[0, 0]",745
language_97,"[1, 1]",745
language_98,"[1, 1]",745
language_99,"[0, 1]",745
language_100,"[1, 0]",745
language_101,"[1, 1]",745
language_102,"[1, 1]",745
language_103,"[1, 1]",745
language_104,"[1, 1]",745
language_106,"[1, 1]",745
language_107,"[1, 1]",745
language_108,"[1, 1]",745
language_109,"[1, 1]",745
language_110,"[1, 1]",745
language_111,"[0, 1]",745
language_112,"[1, 1]",745
language_113,"[1, 1]",745
language_114,"[0, 1]",745
language_115,"[0, 1]",745
language_116,"[1, 1]",745
language_117,"[1, 0]",745
language_118,"[1, 1]",745
language_119,"[1, 1]",745
language_120,"[1, 1]",745
language_121,"[1, 0]",745
language_122,"[1, 1]",745
language_123,"[1, 1]",745
language_124,"[1, 1]",745
language_126,"[1, 1]",745
language_127,"[1, 1]",745
language_129,"[1, 1]",745
language_130,"[1, 1]",745
language_131,"[1, 1]",745
language_132,"[1, 1]",745
language_133,"[1, 1]",745
language_134,"[1, 1]",745
language_135,"[1, 1]",745
language_137,"[1, 1]",745
language_138,"[1, 1]",745
language_139,"[1, 1]",745
language_140,"[1, 1]",745
language_141,"[1, 1]",745
language_142,"[1, 1]",745
language_143,"[1, 1]",745
language_144,"[1, 1]",745
language_145,"[1, 1]",745
language_146,"[1, 1]",745
language_148,"[1, 1]",745
language_149,"[1, 1]",745
language_150,"[1, 1]",745
language_151,"[1, 1]",745
language_152,"[1, 1]",745
language_153,"[1, 1]",745
language_154,"[0, 1]",745
language_155,"[1, 1]",745
language_156,"[0, 0]",745
language_157,"[1, 1]",745
language_159,"[1, 1]",745
language_160,"[1, 1]",745
language_161,"[1, 1]",745
