LANGUAGE,GENDER,SET
language_1,"[1, 1]",335
language_2,"[1, 1]",335
language_3,"[1, 1]",335
language_4,"[1, 1]",335
language_5,"[1, 1]",335
language_6,"[1, 1]",335
language_7,"[1, 1]",335
language_8,"[1, 1]",335
language_9,"[1, 1]",335
language_10,"[1, 1]",335
language_11,"[1, 1]",335
language_12,"[1, 1]",335
language_13,"[0, 1]",335
language_14,"[1, 1]",335
language_15,"[1, 1]",335
language_16,"[1, 1]",335
language_17,"[1, 1]",335
language_18,"[1, 1]",335
language_19,"[1, 1]",335
language_20,"[1, 1]",335
language_21,"[1, 1]",335
language_22,"[1, 1]",335
language_23,"[1, 1]",335
language_24,"[1, 1]",335
language_25,"[1, 1]",335
language_26,"[1, 1]",335
language_27,"[1, 1]",335
language_29,"[1, 1]",335
language_30,"[0, 1]",335
language_31,"[1, 1]",335
language_32,"[1, 1]",335
language_33,"[1, 1]",335
language_35,"[1, 1]",335
language_36,"[1, 1]",335
language_37,"[1, 1]",335
language_39,"[1, 1]",335
language_40,"[1, 0]",335
language_41,"[1, 1]",335
language_42,"[1, 1]",335
language_43,"[1, 1]",335
language_44,"[1, 1]",335
language_45,"[1, 0]",335
language_46,"[1, 1]",335
language_47,"[1, 1]",335
language_48,"[1, 1]",335
language_50,"[1, 1]",335
language_51,"[1, 1]",335
language_52,"[1, 1]",335
language_53,"[1, 1]",335
language_54,"[1, 0]",335
language_55,"[1, 1]",335
language_57,"[1, 1]",335
language_58,"[1, 1]",335
language_59,"[0, 1]",335
language_60,"[1, 1]",335
language_61,"[1, 1]",335
language_62,"[1, 1]",335
language_63,"[1, 1]",335
language_64,"[1, 1]",335
language_65,"[1, 1]",335
language_66,"[1, 0]",335
language_67,"[1, 1]",335
language_68,"[1, 1]",335
language_69,"[1, 1]",335
language_70,"[1, 1]",335
language_71,"[1, 1]",335
language_72,"[1, 1]",335
language_73,"[1, 1]",335
language_74,"[1, 1]",335
language_75,"[1, 0]",335
language_76,"[1, 0]",335
language_77,"[1, 1]",335
language_78,"[1, 1]",335
language_79,"[1, 1]",335
language_80,"[1, 1]",335
language_81,"[1, 1]",335
language_83,"[1, 1]",335
language_84,"[1, 1]",335
language_85,"[1, 1]",335
language_86,"[1, 1]",335
language_87,"[1, 1]",335
language_88,"[1, 1]",335
language_89,"[1, 1]",335
language_90,"[1, 1]",335
language_91,"[1, 1]",335
language_92,"[1, 1]",335
language_93,"[1, 1]",335
language_94,"[1, 1]",335
language_95,"[1, 1]",335
language_96,"[1, 1]",335
language_97,"[1, 1]",335
language_98,"[1, 1]",335
language_99,"[1, 1]",335
language_100,"[1, 1]",335
language_101,"[1, 1]",335
language_102,"[1, 1]",335
language_103,"[1, 1]",335
language_104,"[1, 1]",335
language_105,"[1, 1]",335
language_107,"[1, 1]",335
language_108,"[1, 1]",335
language_109,"[1, 1]",335
language_110,"[1, 1]",335
language_111,"[1, 1]",335
language_113,"[1, 0]",335
language_114,"[1, 1]",335
language_115,"[1, 1]",335
language_116,"[1, 1]",335
language_117,"[1, 1]",335
language_118,"[1, 1]",335
language_119,"[1, 1]",335
language_120,"[0, 1]",335
language_121,"[1, 1]",335
language_122,"[1, 1]",335
language_125,"[1, 1]",335
language_126,"[1, 1]",335
language_127,"[1, 1]",335
language_128,"[1, 1]",335
language_129,"[1, 1]",335
language_130,"[0, 1]",335
language_131,"[1, 1]",335
language_132,"[1, 1]",335
language_133,"[1, 1]",335
language_134,"[1, 0]",335
language_135,"[1, 1]",335
language_136,"[1, 1]",335
language_137,"[1, 1]",335
language_138,"[1, 1]",335
language_139,"[1, 1]",335
language_140,"[0, 1]",335
language_141,"[1, 1]",335
language_142,"[1, 1]",335
language_143,"[1, 1]",335
language_144,"[1, 1]",335
language_145,"[1, 1]",335
language_146,"[1, 1]",335
language_147,"[1, 1]",335
language_148,"[0, 1]",335
language_149,"[1, 1]",335
language_150,"[1, 0]",335
language_151,"[1, 1]",335
language_152,"[1, 1]",335
language_153,"[1, 1]",335
language_154,"[1, 1]",335
language_155,"[1, 0]",335
language_156,"[1, 1]",335
language_157,"[1, 1]",335
language_158,"[1, 1]",335
language_159,"[1, 1]",335
language_160,"[1, 1]",335
language_161,"[1, 1]",335
language_162,"[1, 0]",335
language_163,"[1, 1]",335
language_164,"[1, 0]",335
language_165,"[1, 1]",335
language_166,"[1, 1]",335
language_167,"[1, 1]",335
language_168,"[1, 1]",335
language_169,"[1, 1]",335
language_170,"[1, 1]",335
language_171,"[0, 1]",335
language_172,"[1, 1]",335
language_173,"[1, 1]",335
language_174,"[1, 1]",335
language_176,"[1, 1]",335
language_177,"[1, 1]",335
language_178,"[1, 1]",335
language_179,"[1, 1]",335
language_180,"[1, 1]",335
language_181,"[1, 1]",335
language_182,"[1, 1]",335
language_183,"[1, 1]",335
language_184,"[1, 1]",335
language_185,"[1, 1]",335
language_186,"[1, 1]",335
language_187,"[1, 1]",335
language_188,"[1, 1]",335
language_189,"[1, 1]",335
language_190,"[1, 0]",335
language_191,"[1, 1]",335
language_192,"[1, 1]",335
language_193,"[1, 1]",335
language_194,"[1, 1]",335
language_195,"[1, 1]",335
language_196,"[1, 1]",335
language_197,"[1, 1]",335
language_198,"[1, 1]",335
language_199,"[1, 1]",335
language_200,"[1, 1]",335
language_201,"[1, 1]",335
language_202,"[0, 1]",335
language_203,"[0, 1]",335
language_204,"[1, 1]",335
language_205,"[1, 1]",335
language_206,"[0, 1]",335
language_207,"[1, 1]",335
language_208,"[1, 1]",335
language_209,"[1, 1]",335
language_210,"[1, 0]",335
language_212,"[1, 0]",335
language_213,"[1, 0]",335
language_215,"[1, 1]",335
language_216,"[1, 1]",335
language_217,"[1, 1]",335
language_218,"[1, 1]",335
language_219,"[0, 1]",335
language_220,"[1, 1]",335
language_221,"[1, 1]",335
language_222,"[1, 1]",335
language_225,"[1, 0]",335
language_227,"[1, 1]",335
language_228,"[1, 1]",335
language_229,"[1, 1]",335
language_230,"[1, 1]",335
language_231,"[0, 1]",335
language_232,"[1, 1]",335
language_233,"[1, 1]",335
language_234,"[0, 1]",335
language_235,"[1, 1]",335
language_236,"[1, 1]",335
language_237,"[1, 1]",335
language_238,"[1, 0]",335
language_240,"[1, 1]",335
language_241,"[1, 1]",335
language_243,"[1, 1]",335
language_245,"[1, 1]",335
language_246,"[1, 1]",335
language_247,"[1, 1]",335
language_248,"[1, 1]",335
language_249,"[1, 1]",335
language_251,"[1, 0]",335
language_253,"[0, 1]",335
language_254,"[1, 0]",335
language_255,"[1, 1]",335
language_256,"[1, 1]",335
language_257,"[1, 1]",335
language_258,"[1, 0]",335
language_259,"[1, 1]",335
language_260,"[1, 1]",335
language_261,"[1, 1]",335
