LANGUAGE,GENDER,SET
language_1,"[1, 1]",191
language_2,"[1, 1]",191
language_3,"[1, 1]",191
language_4,"[1, 1]",191
language_5,"[1, 1]",191
language_6,"[0, 1]",191
language_7,"[1, 1]",191
language_8,"[1, 1]",191
language_9,"[1, 1]",191
language_12,"[0, 1]",191
language_13,"[1, 1]",191
language_14,"[1, 1]",191
language_15,"[1, 1]",191
language_16,"[1, 1]",191
language_17,"[1, 1]",191
language_18,"[1, 1]",191
language_19,"[1, 1]",191
language_20,"[1, 1]",191
language_21,"[1, 1]",191
language_22,"[1, 1]",191
language_23,"[1, 1]",191
language_24,"[1, 1]",191
language_26,"[1, 1]",191
language_27,"[1, 1]",191
language_28,"[1, 1]",191
language_29,"[1, 1]",191
language_30,"[1, 1]",191
language_31,"[1, 1]",191
language_32,"[0, 1]",191
language_33,"[1, 1]",191
language_34,"[1, 1]",191
language_35,"[0, 1]",191
language_36,"[1, 1]",191
language_37,"[1, 1]",191
language_38,"[1, 0]",191
language_39,"[0, 1]",191
language_40,"[1, 1]",191
language_41,"[1, 1]",191
language_42,"[0, 1]",191
language_43,"[1, 0]",191
language_44,"[0, 1]",191
language_45,"[1, 1]",191
language_46,"[1, 1]",191
language_47,"[1, 1]",191
language_48,"[1, 1]",191
language_51,"[1, 1]",191
language_52,"[1, 1]",191
language_53,"[1, 1]",191
language_54,"[1, 1]",191
language_55,"[1, 1]",191
language_56,"[1, 1]",191
language_57,"[1, 1]",191
language_58,"[1, 1]",191
language_59,"[1, 1]",191
language_60,"[1, 1]",191
language_61,"[1, 0]",191
language_62,"[1, 0]",191
language_63,"[1, 1]",191
language_64,"[1, 1]",191
language_65,"[1, 1]",191
language_66,"[1, 1]",191
language_67,"[1, 1]",191
language_68,"[1, 1]",191
language_69,"[1, 1]",191
language_70,"[1, 1]",191
language_71,"[1, 1]",191
language_72,"[1, 1]",191
language_73,"[1, 1]",191
language_74,"[1, 1]",191
language_75,"[1, 1]",191
language_76,"[1, 1]",191
language_77,"[1, 0]",191
language_78,"[1, 1]",191
language_79,"[0, 1]",191
language_80,"[0, 1]",191
language_81,"[1, 1]",191
language_82,"[1, 1]",191
language_85,"[1, 1]",191
language_86,"[1, 1]",191
language_87,"[1, 1]",191
language_88,"[1, 1]",191
language_89,"[1, 1]",191
language_90,"[1, 1]",191
language_91,"[1, 1]",191
language_92,"[1, 1]",191
language_93,"[1, 1]",191
language_94,"[0, 0]",191
language_95,"[1, 1]",191
language_97,"[1, 1]",191
