LANGUAGE,GENDER,SET
language_1,"[1, 1]",91
language_2,"[1, 1]",91
language_3,"[1, 1]",91
language_4,"[1, 1]",91
language_5,"[1, 1]",91
language_6,"[1, 1]",91
language_7,"[1, 1]",91
language_8,"[1, 1]",91
language_9,"[1, 1]",91
language_10,"[1, 1]",91
language_11,"[1, 1]",91
language_12,"[1, 1]",91
language_13,"[1, 1]",91
language_14,"[1, 1]",91
language_15,"[1, 1]",91
language_17,"[1, 1]",91
language_18,"[1, 1]",91
language_19,"[1, 1]",91
language_20,"[1, 1]",91
language_21,"[1, 0]",91
language_22,"[1, 1]",91
language_23,"[1, 1]",91
language_24,"[1, 1]",91
language_25,"[1, 1]",91
language_26,"[1, 1]",91
language_27,"[1, 1]",91
language_28,"[0, 1]",91
language_29,"[1, 1]",91
language_30,"[1, 1]",91
language_31,"[1, 1]",91
language_32,"[1, 0]",91
language_34,"[1, 1]",91
language_35,"[1, 1]",91
language_36,"[0, 1]",91
language_37,"[1, 1]",91
language_38,"[1, 1]",91
language_39,"[1, 1]",91
language_40,"[1, 1]",91
language_41,"[1, 1]",91
language_42,"[1, 1]",91
language_43,"[1, 1]",91
language_44,"[1, 1]",91
language_45,"[1, 0]",91
language_47,"[1, 1]",91
language_48,"[1, 0]",91
language_49,"[1, 1]",91
language_50,"[1, 1]",91
language_51,"[1, 1]",91
language_52,"[1, 1]",91
language_53,"[1, 1]",91
language_54,"[1, 1]",91
language_55,"[1, 1]",91
language_56,"[1, 1]",91
language_57,"[1, 1]",91
language_58,"[1, 1]",91
language_59,"[1, 1]",91
language_60,"[0, 1]",91
language_61,"[1, 1]",91
language_62,"[1, 1]",91
language_63,"[1, 1]",91
language_64,"[0, 1]",91
language_65,"[1, 1]",91
language_66,"[1, 1]",91
language_68,"[1, 1]",91
language_69,"[1, 1]",91
language_70,"[0, 1]",91
language_71,"[1, 1]",91
language_72,"[1, 1]",91
language_73,"[1, 1]",91
language_74,"[1, 1]",91
language_75,"[1, 1]",91
language_76,"[1, 1]",91
language_77,"[1, 1]",91
language_78,"[1, 1]",91
language_79,"[1, 1]",91
language_80,"[0, 1]",91
language_81,"[1, 0]",91
language_82,"[1, 1]",91
language_83,"[1, 0]",91
language_84,"[1, 1]",91
language_85,"[1, 1]",91
language_86,"[1, 1]",91
language_87,"[0, 1]",91
language_88,"[1, 1]",91
language_89,"[1, 1]",91
language_90,"[1, 1]",91
language_91,"[1, 1]",91
language_92,"[1, 1]",91
language_93,"[1, 1]",91
language_94,"[0, 1]",91
language_96,"[1, 1]",91
language_97,"[1, 1]",91
language_98,"[1, 1]",91
language_99,"[1, 1]",91
language_100,"[0, 1]",91
language_102,"[1, 1]",91
language_103,"[1, 1]",91
language_104,"[1, 1]",91
language_105,"[1, 1]",91
language_106,"[1, 1]",91
language_107,"[1, 1]",91
language_108,"[1, 1]",91
language_109,"[1, 1]",91
language_113,"[1, 1]",91
language_114,"[1, 1]",91
language_115,"[1, 1]",91
language_116,"[1, 1]",91
language_117,"[1, 1]",91
language_118,"[1, 1]",91
language_119,"[1, 1]",91
language_120,"[1, 1]",91
language_121,"[1, 1]",91
language_122,"[1, 1]",91
language_123,"[1, 1]",91
language_124,"[1, 1]",91
language_125,"[1, 0]",91
language_126,"[1, 1]",91
language_127,"[1, 1]",91
language_128,"[1, 1]",91
language_129,"[1, 1]",91
language_130,"[1, 1]",91
language_131,"[1, 1]",91
language_132,"[1, 0]",91
language_133,"[1, 1]",91
language_134,"[1, 1]",91
language_135,"[1, 1]",91
language_137,"[1, 1]",91
language_138,"[1, 1]",91
language_139,"[1, 1]",91
language_140,"[1, 1]",91
language_141,"[1, 1]",91
language_142,"[1, 1]",91
language_143,"[1, 1]",91
language_144,"[1, 1]",91
