LANGUAGE,GENDER,SET
language_1,"[1, 1]",418
language_2,"[0, 0]",418
language_3,"[1, 0]",418
language_4,"[1, 0]",418
language_6,"[1, 1]",418
language_7,"[1, 1]",418
language_9,"[1, 1]",418
language_10,"[1, 1]",418
language_11,"[1, 1]",418
language_13,"[0, 1]",418
language_14,"[0, 1]",418
language_15,"[1, 1]",418
language_16,"[1, 1]",418
language_17,"[1, 1]",418
language_18,"[1, 1]",418
language_19,"[1, 1]",418
language_20,"[1, 1]",418
language_21,"[1, 1]",418
language_22,"[1, 1]",418
language_23,"[1, 1]",418
language_24,"[1, 1]",418
language_25,"[1, 1]",418
language_27,"[1, 1]",418
language_28,"[1, 1]",418
language_29,"[1, 1]",418
language_30,"[1, 1]",418
language_31,"[0, 1]",418
language_32,"[1, 1]",418
language_34,"[1, 1]",418
language_35,"[1, 1]",418
language_36,"[1, 1]",418
language_37,"[1, 1]",418
language_43,"[1, 1]",418
language_44,"[1, 1]",418
language_45,"[1, 1]",418
language_46,"[1, 1]",418
language_47,"[1, 1]",418
language_48,"[1, 1]",418
language_49,"[0, 1]",418
language_50,"[0, 1]",418
language_52,"[1, 1]",418
language_53,"[1, 1]",418
language_54,"[1, 1]",418
language_56,"[1, 1]",418
language_57,"[0, 1]",418
language_59,"[1, 1]",418
language_60,"[1, 1]",418
language_61,"[0, 1]",418
language_62,"[1, 1]",418
language_63,"[1, 0]",418
language_64,"[1, 1]",418
language_65,"[1, 1]",418
language_66,"[1, 1]",418
language_67,"[1, 1]",418
language_68,"[1, 1]",418
language_70,"[1, 1]",418
language_71,"[0, 1]",418
language_72,"[1, 1]",418
language_73,"[1, 1]",418
language_74,"[1, 1]",418
language_75,"[1, 1]",418
language_76,"[1, 1]",418
language_77,"[1, 1]",418
language_78,"[1, 1]",418
language_79,"[1, 1]",418
language_80,"[1, 1]",418
language_81,"[1, 0]",418
language_82,"[1, 1]",418
language_83,"[1, 1]",418
language_84,"[0, 1]",418
language_85,"[1, 1]",418
language_86,"[1, 1]",418
language_87,"[1, 0]",418
language_89,"[1, 1]",418
language_90,"[1, 1]",418
language_92,"[1, 1]",418
language_93,"[1, 1]",418
language_95,"[1, 1]",418
language_96,"[1, 1]",418
language_97,"[1, 1]",418
language_98,"[1, 1]",418
language_100,"[1, 1]",418
language_101,"[0, 1]",418
language_102,"[0, 1]",418
language_103,"[1, 1]",418
language_104,"[0, 1]",418
language_105,"[1, 1]",418
language_106,"[1, 1]",418
language_107,"[0, 1]",418
language_108,"[1, 0]",418
language_109,"[1, 1]",418
language_110,"[1, 1]",418
language_111,"[1, 1]",418
language_112,"[1, 1]",418
language_113,"[1, 1]",418
language_114,"[1, 1]",418
language_115,"[1, 1]",418
language_116,"[1, 1]",418
language_117,"[1, 1]",418
language_119,"[1, 1]",418
language_120,"[1, 1]",418
language_122,"[1, 1]",418
language_123,"[1, 1]",418
language_124,"[0, 1]",418
language_125,"[1, 1]",418
language_128,"[1, 1]",418
language_129,"[1, 1]",418
language_130,"[1, 1]",418
language_131,"[1, 1]",418
language_132,"[1, 1]",418
language_133,"[0, 0]",418
language_134,"[1, 0]",418
language_135,"[1, 1]",418
language_137,"[1, 1]",418
language_138,"[1, 1]",418
language_139,"[1, 0]",418
language_140,"[1, 1]",418
language_141,"[1, 1]",418
language_144,"[1, 1]",418
language_145,"[0, 1]",418
language_146,"[0, 1]",418
language_147,"[1, 1]",418
language_148,"[1, 1]",418
language_149,"[1, 1]",418
language_150,"[1, 1]",418
language_151,"[1, 1]",418
language_152,"[1, 1]",418
language_153,"[1, 1]",418
language_154,"[1, 1]",418
language_155,"[1, 1]",418
language_156,"[1, 1]",418
language_157,"[1, 1]",418
language_158,"[1, 1]",418
language_159,"[1, 1]",418
language_160,"[1, 1]",418
language_161,"[0, 1]",418
language_162,"[0, 1]",418
language_163,"[1, 1]",418
language_164,"[0, 1]",418
language_165,"[0, 1]",418
language_167,"[1, 1]",418
language_168,"[1, 1]",418
language_169,"[1, 1]",418
language_170,"[1, 1]",418
language_171,"[1, 1]",418
language_172,"[1, 1]",418
language_173,"[1, 1]",418
language_174,"[1, 1]",418
language_175,"[1, 1]",418
language_176,"[1, 1]",418
language_177,"[1, 1]",418
language_178,"[1, 1]",418
language_179,"[1, 1]",418
language_180,"[1, 1]",418
language_181,"[1, 0]",418
language_182,"[1, 0]",418
language_184,"[1, 0]",418
language_185,"[1, 1]",418
language_187,"[1, 1]",418
language_188,"[1, 1]",418
language_190,"[1, 0]",418
language_192,"[1, 1]",418
language_194,"[1, 1]",418
language_195,"[1, 1]",418
language_196,"[1, 1]",418
language_198,"[1, 1]",418
language_199,"[1, 1]",418
language_200,"[1, 1]",418
language_201,"[1, 1]",418
language_202,"[1, 1]",418
language_203,"[0, 1]",418
language_204,"[1, 1]",418
language_205,"[1, 1]",418
language_206,"[1, 1]",418
language_207,"[1, 0]",418
language_208,"[1, 1]",418
language_209,"[1, 1]",418
language_211,"[1, 1]",418
language_212,"[1, 1]",418
language_213,"[1, 1]",418
language_214,"[1, 1]",418
language_215,"[1, 1]",418
language_216,"[1, 1]",418
language_217,"[1, 1]",418
language_218,"[1, 1]",418
language_219,"[1, 0]",418
language_220,"[1, 1]",418
language_221,"[1, 1]",418
language_222,"[1, 1]",418
language_223,"[0, 1]",418
language_224,"[1, 1]",418
language_225,"[1, 0]",418
language_226,"[1, 0]",418
language_227,"[1, 0]",418
language_228,"[1, 1]",418
language_229,"[1, 1]",418
language_230,"[1, 1]",418
language_231,"[1, 1]",418
language_233,"[1, 1]",418
language_234,"[1, 1]",418
language_235,"[1, 1]",418
language_236,"[1, 1]",418
language_237,"[1, 1]",418
language_238,"[1, 1]",418
language_239,"[0, 1]",418
language_240,"[1, 1]",418
language_241,"[1, 0]",418
language_242,"[1, 1]",418
language_243,"[1, 1]",418
language_244,"[1, 1]",418
language_247,"[1, 1]",418
language_248,"[1, 1]",418
language_249,"[1, 1]",418
language_250,"[1, 1]",418
language_251,"[1, 1]",418
language_252,"[1, 1]",418
language_253,"[1, 1]",418
language_254,"[1, 1]",418
language_255,"[1, 1]",418
language_256,"[1, 1]",418
language_257,"[1, 1]",418
language_258,"[1, 1]",418
language_259,"[1, 1]",418
language_260,"[1, 1]",418
language_261,"[1, 1]",418
language_262,"[1, 1]",418
language_263,"[1, 1]",418
language_264,"[1, 1]",418
language_265,"[1, 1]",418
language_266,"[1, 1]",418
language_267,"[1, 1]",418
language_268,"[1, 1]",418
language_269,"[0, 1]",418
language_270,"[1, 1]",418
language_271,"[1, 1]",418
language_272,"[1, 1]",418
language_273,"[1, 1]",418
language_274,"[1, 1]",418
language_275,"[1, 1]",418
language_276,"[1, 0]",418
language_277,"[1, 1]",418
language_278,"[0, 1]",418
language_279,"[1, 1]",418
language_280,"[1, 1]",418
language_282,"[1, 1]",418
language_283,"[1, 0]",418
language_284,"[1, 1]",418
language_285,"[1, 1]",418
language_286,"[1, 1]",418
language_287,"[1, 0]",418
language_288,"[0, 0]",418
language_289,"[1, 1]",418
language_290,"[1, 1]",418
language_291,"[1, 1]",418
language_292,"[1, 1]",418
language_293,"[1, 1]",418
language_294,"[1, 1]",418
language_295,"[1, 0]",418
language_297,"[1, 1]",418
language_298,"[1, 1]",418
language_299,"[1, 1]",418
language_300,"[1, 1]",418
language_301,"[0, 1]",418
language_302,"[1, 1]",418
language_303,"[1, 1]",418
language_304,"[1, 1]",418
language_305,"[1, 1]",418
language_306,"[1, 1]",418
language_307,"[1, 0]",418
language_308,"[1, 1]",418
language_309,"[1, 1]",418
language_310,"[1, 1]",418
language_311,"[1, 1]",418
language_312,"[1, 1]",418
language_313,"[1, 1]",418
language_314,"[1, 1]",418
language_315,"[1, 1]",418
language_317,"[0, 1]",418
language_318,"[1, 1]",418
language_319,"[1, 1]",418
language_320,"[1, 1]",418
language_321,"[1, 1]",418
language_323,"[1, 1]",418
language_324,"[1, 0]",418
language_325,"[1, 1]",418
language_326,"[1, 1]",418
language_327,"[1, 1]",418
language_328,"[1, 1]",418
language_330,"[1, 0]",418
language_331,"[0, 1]",418
language_332,"[1, 1]",418
language_334,"[0, 1]",418
language_335,"[1, 1]",418
language_336,"[1, 1]",418
language_337,"[1, 1]",418
language_338,"[1, 1]",418
language_339,"[1, 1]",418
language_340,"[1, 1]",418
language_341,"[1, 1]",418
language_342,"[1, 0]",418
language_344,"[1, 1]",418
language_345,"[0, 1]",418
language_346,"[1, 1]",418
language_347,"[1, 1]",418
language_349,"[1, 1]",418
language_350,"[1, 1]",418
language_351,"[1, 0]",418
language_352,"[1, 0]",418
language_353,"[1, 1]",418
language_354,"[1, 1]",418
language_355,"[1, 1]",418
language_356,"[1, 1]",418
language_357,"[1, 1]",418
language_358,"[1, 1]",418
language_359,"[1, 1]",418
language_360,"[1, 1]",418
language_361,"[1, 1]",418
language_362,"[1, 1]",418
language_363,"[1, 1]",418
language_364,"[1, 1]",418
language_365,"[1, 1]",418
language_366,"[1, 1]",418
language_367,"[1, 1]",418
language_368,"[1, 1]",418
language_369,"[1, 1]",418
language_370,"[1, 1]",418
language_371,"[1, 1]",418
language_372,"[1, 1]",418
language_373,"[1, 1]",418
language_374,"[1, 0]",418
language_375,"[1, 1]",418
language_376,"[1, 1]",418
language_377,"[1, 1]",418
language_378,"[1, 1]",418
language_379,"[1, 1]",418
language_380,"[1, 0]",418
language_381,"[1, 1]",418
language_382,"[1, 1]",418
language_383,"[1, 1]",418
language_384,"[1, 1]",418
language_385,"[1, 1]",418
language_386,"[1, 1]",418
language_387,"[1, 1]",418
language_388,"[1, 1]",418
language_389,"[0, 1]",418
language_390,"[1, 1]",418
language_391,"[1, 1]",418
language_392,"[1, 1]",418
language_393,"[1, 1]",418
language_394,"[1, 1]",418
language_395,"[0, 1]",418
language_396,"[1, 1]",418
language_397,"[1, 1]",418
language_398,"[1, 1]",418
language_399,"[1, 1]",418
language_400,"[1, 1]",418
language_401,"[1, 1]",418
language_402,"[1, 1]",418
language_404,"[1, 1]",418
language_405,"[1, 1]",418
language_406,"[1, 1]",418
language_407,"[1, 1]",418
language_408,"[1, 1]",418
