LANGUAGE,GENDER,SET
language_1,"[1, 1]",704
language_2,"[1, 0]",704
language_3,"[1, 1]",704
language_4,"[1, 1]",704
language_5,"[1, 1]",704
language_6,"[0, 1]",704
language_7,"[1, 0]",704
language_8,"[1, 1]",704
language_9,"[1, 1]",704
language_10,"[1, 1]",704
language_11,"[1, 1]",704
language_12,"[1, 1]",704
language_13,"[1, 1]",704
language_14,"[1, 0]",704
language_15,"[1, 1]",704
language_16,"[1, 1]",704
language_17,"[1, 1]",704
language_18,"[1, 1]",704
language_19,"[1, 1]",704
language_20,"[1, 1]",704
language_21,"[1, 1]",704
language_22,"[1, 1]",704
language_23,"[1, 1]",704
language_24,"[1, 1]",704
language_25,"[1, 0]",704
language_26,"[0, 1]",704
language_28,"[1, 1]",704
language_29,"[1, 1]",704
language_30,"[1, 0]",704
language_31,"[1, 1]",704
language_32,"[0, 1]",704
language_33,"[1, 1]",704
language_34,"[0, 1]",704
language_35,"[1, 1]",704
language_36,"[1, 1]",704
language_37,"[0, 1]",704
language_38,"[1, 1]",704
language_39,"[1, 1]",704
language_40,"[1, 1]",704
language_41,"[1, 1]",704
language_42,"[1, 1]",704
language_43,"[1, 1]",704
language_44,"[1, 1]",704
language_45,"[1, 1]",704
language_46,"[1, 1]",704
language_47,"[1, 1]",704
language_48,"[1, 1]",704
language_49,"[1, 1]",704
language_50,"[1, 1]",704
language_51,"[1, 1]",704
language_52,"[1, 1]",704
language_53,"[1, 1]",704
language_54,"[1, 1]",704
language_55,"[1, 1]",704
language_56,"[1, 1]",704
language_58,"[1, 1]",704
language_59,"[1, 1]",704
language_61,"[1, 1]",704
language_62,"[1, 1]",704
language_64,"[1, 1]",704
language_65,"[1, 1]",704
language_66,"[1, 1]",704
language_67,"[0, 1]",704
language_68,"[1, 1]",704
language_69,"[1, 1]",704
language_70,"[1, 1]",704
language_71,"[1, 1]",704
language_72,"[1, 1]",704
language_73,"[1, 1]",704
language_74,"[0, 1]",704
language_75,"[1, 1]",704
language_76,"[1, 1]",704
language_77,"[1, 1]",704
language_78,"[1, 0]",704
language_80,"[1, 0]",704
language_81,"[1, 1]",704
language_82,"[1, 1]",704
language_83,"[1, 1]",704
