LANGUAGE,GENDER,SET
language_2,"[0, 1]",492
language_3,"[1, 1]",492
language_4,"[1, 1]",492
language_5,"[1, 1]",492
language_6,"[1, 1]",492
language_7,"[1, 1]",492
language_8,"[1, 1]",492
language_10,"[1, 1]",492
language_11,"[1, 1]",492
language_12,"[0, 1]",492
language_13,"[1, 1]",492
language_14,"[1, 1]",492
language_15,"[1, 1]",492
language_16,"[1, 1]",492
language_18,"[1, 1]",492
language_19,"[1, 1]",492
language_20,"[1, 1]",492
language_21,"[1, 1]",492
language_22,"[1, 1]",492
language_23,"[1, 1]",492
language_24,"[1, 0]",492
language_25,"[1, 1]",492
language_26,"[0, 1]",492
language_27,"[1, 1]",492
language_28,"[0, 1]",492
language_29,"[1, 1]",492
language_30,"[0, 1]",492
language_31,"[1, 1]",492
language_32,"[1, 1]",492
language_33,"[1, 1]",492
language_34,"[1, 1]",492
language_35,"[1, 1]",492
language_36,"[1, 1]",492
language_37,"[1, 1]",492
language_38,"[1, 1]",492
language_39,"[1, 1]",492
language_40,"[1, 1]",492
language_41,"[1, 1]",492
language_42,"[1, 1]",492
language_43,"[1, 1]",492
language_44,"[1, 1]",492
language_45,"[1, 1]",492
language_46,"[1, 1]",492
language_47,"[1, 1]",492
language_48,"[1, 1]",492
language_49,"[1, 1]",492
language_50,"[1, 1]",492
language_51,"[1, 1]",492
language_52,"[1, 1]",492
language_54,"[0, 0]",492
language_55,"[0, 1]",492
language_56,"[1, 1]",492
language_57,"[1, 1]",492
language_58,"[1, 1]",492
language_59,"[1, 1]",492
language_60,"[1, 1]",492
language_61,"[1, 1]",492
language_62,"[1, 0]",492
language_63,"[1, 1]",492
language_64,"[1, 1]",492
language_65,"[1, 1]",492
language_66,"[1, 1]",492
language_67,"[1, 1]",492
language_68,"[1, 1]",492
language_69,"[1, 1]",492
language_70,"[1, 1]",492
language_71,"[0, 1]",492
language_72,"[1, 1]",492
language_73,"[1, 1]",492
language_74,"[1, 1]",492
language_76,"[1, 0]",492
language_77,"[1, 1]",492
language_78,"[1, 1]",492
language_79,"[1, 1]",492
language_80,"[1, 1]",492
language_81,"[1, 1]",492
language_82,"[1, 0]",492
language_84,"[1, 1]",492
language_85,"[1, 0]",492
language_86,"[1, 1]",492
language_87,"[1, 1]",492
language_88,"[1, 1]",492
language_89,"[1, 1]",492
language_90,"[0, 1]",492
language_91,"[1, 1]",492
language_92,"[1, 1]",492
language_93,"[1, 1]",492
language_94,"[1, 1]",492
language_96,"[1, 1]",492
language_97,"[1, 1]",492
language_99,"[1, 1]",492
language_100,"[1, 1]",492
language_101,"[1, 0]",492
language_102,"[1, 1]",492
language_104,"[1, 0]",492
language_105,"[1, 1]",492
language_106,"[1, 1]",492
language_107,"[1, 1]",492
language_108,"[1, 1]",492
language_109,"[1, 1]",492
language_110,"[1, 1]",492
language_111,"[1, 1]",492
language_112,"[1, 1]",492
language_113,"[1, 1]",492
language_114,"[1, 1]",492
language_116,"[1, 1]",492
language_117,"[1, 1]",492
language_118,"[1, 1]",492
language_119,"[1, 1]",492
language_120,"[1, 1]",492
language_121,"[1, 1]",492
language_122,"[1, 1]",492
language_123,"[1, 1]",492
language_124,"[1, 0]",492
language_125,"[0, 1]",492
language_126,"[0, 1]",492
language_127,"[1, 1]",492
language_128,"[1, 1]",492
language_129,"[1, 1]",492
language_130,"[1, 1]",492
language_131,"[1, 1]",492
language_132,"[1, 1]",492
language_133,"[1, 1]",492
language_134,"[1, 1]",492
language_135,"[1, 1]",492
language_137,"[1, 0]",492
language_138,"[0, 1]",492
language_139,"[1, 1]",492
language_140,"[1, 1]",492
language_142,"[1, 1]",492
language_143,"[1, 1]",492
language_144,"[1, 1]",492
language_145,"[1, 1]",492
language_146,"[1, 1]",492
language_147,"[1, 0]",492
language_149,"[0, 0]",492
language_150,"[1, 1]",492
language_151,"[1, 1]",492
language_153,"[1, 1]",492
language_154,"[1, 1]",492
language_155,"[1, 1]",492
language_156,"[1, 0]",492
language_157,"[0, 1]",492
language_158,"[0, 1]",492
language_159,"[1, 1]",492
language_160,"[1, 1]",492
language_161,"[1, 1]",492
language_162,"[1, 1]",492
language_163,"[1, 1]",492
language_164,"[0, 1]",492
language_165,"[1, 1]",492
language_166,"[1, 0]",492
language_167,"[1, 1]",492
language_168,"[1, 1]",492
language_169,"[1, 1]",492
language_170,"[1, 1]",492
language_171,"[1, 1]",492
language_172,"[1, 1]",492
language_173,"[1, 1]",492
language_174,"[1, 1]",492
language_175,"[1, 1]",492
language_176,"[0, 1]",492
language_177,"[1, 1]",492
language_178,"[1, 1]",492
language_179,"[1, 1]",492
