LANGUAGE,GENDER,SET
language_1,"[1, 1]",573
language_2,"[1, 1]",573
language_3,"[0, 0]",573
language_4,"[1, 1]",573
language_5,"[1, 1]",573
language_6,"[0, 1]",573
language_7,"[1, 1]",573
language_8,"[1, 1]",573
language_9,"[1, 1]",573
language_10,"[1, 1]",573
language_11,"[1, 1]",573
language_12,"[1, 1]",573
language_13,"[1, 1]",573
language_14,"[1, 1]",573
language_15,"[1, 1]",573
language_16,"[1, 1]",573
language_17,"[1, 1]",573
language_18,"[1, 1]",573
language_19,"[1, 1]",573
language_20,"[1, 1]",573
language_21,"[1, 1]",573
language_22,"[1, 1]",573
language_23,"[1, 1]",573
language_24,"[1, 1]",573
language_25,"[1, 1]",573
language_26,"[1, 1]",573
language_27,"[1, 1]",573
language_28,"[1, 1]",573
language_29,"[1, 1]",573
language_30,"[0, 1]",573
language_31,"[1, 1]",573
language_32,"[1, 1]",573
language_34,"[1, 1]",573
language_35,"[1, 1]",573
language_36,"[1, 1]",573
language_37,"[1, 1]",573
language_38,"[1, 1]",573
language_39,"[1, 1]",573
language_40,"[1, 1]",573
language_42,"[1, 1]",573
language_43,"[1, 1]",573
language_44,"[0, 1]",573
language_45,"[1, 1]",573
language_46,"[0, 1]",573
language_47,"[1, 1]",573
language_48,"[1, 1]",573
language_49,"[1, 1]",573
language_51,"[1, 1]",573
language_53,"[1, 1]",573
language_54,"[1, 1]",573
language_55,"[1, 1]",573
language_56,"[1, 1]",573
language_57,"[1, 1]",573
language_58,"[1, 1]",573
language_59,"[1, 1]",573
language_60,"[1, 1]",573
language_61,"[1, 1]",573
language_62,"[1, 1]",573
language_63,"[1, 1]",573
language_64,"[1, 1]",573
language_65,"[1, 1]",573
language_66,"[1, 1]",573
language_67,"[1, 1]",573
language_68,"[1, 1]",573
language_69,"[1, 1]",573
language_70,"[1, 1]",573
language_71,"[1, 1]",573
language_72,"[1, 1]",573
language_73,"[1, 1]",573
language_74,"[1, 1]",573
language_75,"[1, 1]",573
language_76,"[1, 1]",573
language_77,"[1, 1]",573
language_78,"[1, 1]",573
