LANGUAGE,GENDER,SET
language_1,"[0, 1]",828
language_2,"[1, 1]",828
language_3,"[1, 1]",828
language_4,"[1, 1]",828
language_5,"[1, 1]",828
language_6,"[1, 1]",828
language_7,"[1, 1]",828
language_8,"[1, 1]",828
language_9,"[1, 1]",828
language_10,"[1, 1]",828
language_11,"[1, 1]",828
language_12,"[1, 1]",828
language_13,"[1, 1]",828
language_14,"[1, 1]",828
language_15,"[1, 1]",828
language_16,"[0, 0]",828
language_17,"[1, 1]",828
language_18,"[1, 1]",828
language_19,"[1, 1]",828
language_20,"[1, 1]",828
language_21,"[1, 1]",828
language_22,"[1, 1]",828
language_23,"[1, 1]",828
language_24,"[1, 1]",828
language_25,"[1, 1]",828
language_26,"[1, 1]",828
language_27,"[1, 1]",828
language_28,"[1, 1]",828
language_29,"[1, 1]",828
language_30,"[1, 1]",828
language_31,"[1, 1]",828
language_32,"[1, 1]",828
language_33,"[1, 1]",828
language_34,"[1, 1]",828
language_35,"[1, 1]",828
language_36,"[0, 1]",828
language_37,"[1, 0]",828
language_38,"[1, 1]",828
language_39,"[1, 1]",828
language_41,"[0, 1]",828
language_42,"[1, 1]",828
language_44,"[1, 1]",828
language_45,"[1, 1]",828
language_46,"[1, 1]",828
language_47,"[1, 1]",828
language_48,"[0, 1]",828
language_50,"[1, 1]",828
language_51,"[1, 1]",828
language_53,"[1, 1]",828
language_54,"[1, 1]",828
language_55,"[1, 1]",828
language_56,"[1, 0]",828
language_58,"[1, 1]",828
language_59,"[1, 1]",828
language_61,"[1, 1]",828
language_62,"[1, 1]",828
language_63,"[1, 1]",828
language_64,"[1, 1]",828
language_65,"[1, 1]",828
language_66,"[1, 1]",828
language_67,"[1, 1]",828
language_68,"[1, 1]",828
language_69,"[1, 1]",828
language_70,"[1, 1]",828
language_71,"[1, 1]",828
language_72,"[1, 1]",828
language_73,"[1, 1]",828
language_74,"[1, 1]",828
language_76,"[1, 1]",828
language_77,"[1, 1]",828
language_78,"[1, 1]",828
language_79,"[1, 0]",828
language_80,"[1, 1]",828
language_81,"[1, 1]",828
language_82,"[1, 1]",828
language_83,"[0, 1]",828
language_84,"[1, 1]",828
language_85,"[1, 1]",828
language_86,"[1, 1]",828
language_87,"[1, 1]",828
language_88,"[1, 1]",828
language_89,"[1, 1]",828
language_90,"[1, 1]",828
language_91,"[1, 1]",828
language_92,"[1, 1]",828
language_93,"[1, 1]",828
language_94,"[1, 1]",828
language_95,"[1, 1]",828
language_96,"[1, 1]",828
language_97,"[1, 1]",828
language_98,"[1, 1]",828
language_99,"[1, 0]",828
language_101,"[1, 1]",828
language_103,"[1, 1]",828
language_104,"[1, 1]",828
language_105,"[1, 1]",828
language_106,"[1, 1]",828
language_107,"[1, 0]",828
language_108,"[0, 1]",828
language_109,"[1, 1]",828
language_110,"[1, 1]",828
language_111,"[0, 1]",828
language_112,"[0, 1]",828
language_113,"[1, 1]",828
language_114,"[1, 1]",828
language_115,"[1, 1]",828
language_116,"[0, 1]",828
language_117,"[1, 1]",828
language_118,"[1, 1]",828
language_119,"[1, 1]",828
language_120,"[1, 1]",828
language_121,"[1, 1]",828
language_122,"[1, 1]",828
language_123,"[1, 1]",828
language_125,"[1, 0]",828
language_126,"[0, 1]",828
language_128,"[1, 0]",828
language_129,"[0, 1]",828
language_130,"[1, 1]",828
language_131,"[1, 1]",828
language_132,"[1, 1]",828
language_133,"[1, 1]",828
language_134,"[1, 1]",828
language_135,"[1, 1]",828
language_136,"[0, 1]",828
language_137,"[1, 1]",828
language_138,"[1, 1]",828
language_139,"[1, 1]",828
language_140,"[0, 1]",828
language_141,"[1, 1]",828
language_142,"[1, 1]",828
language_143,"[1, 1]",828
language_144,"[1, 1]",828
language_145,"[1, 1]",828
language_146,"[1, 1]",828
language_147,"[1, 1]",828
language_148,"[1, 1]",828
language_149,"[1, 1]",828
language_150,"[1, 1]",828
language_151,"[0, 1]",828
language_152,"[1, 1]",828
language_153,"[0, 0]",828
language_154,"[1, 1]",828
language_155,"[1, 1]",828
language_156,"[1, 1]",828
language_157,"[1, 1]",828
language_158,"[1, 1]",828
language_159,"[1, 1]",828
language_160,"[1, 1]",828
language_161,"[1, 1]",828
language_162,"[0, 1]",828
