LANGUAGE,GENDER,SET
language_1,"[0, 1]",200
language_2,"[1, 1]",200
language_3,"[1, 1]",200
language_4,"[1, 1]",200
language_5,"[1, 1]",200
language_6,"[1, 1]",200
language_7,"[1, 1]",200
language_8,"[1, 1]",200
language_9,"[1, 1]",200
language_10,"[1, 1]",200
language_12,"[1, 1]",200
language_13,"[1, 1]",200
language_14,"[1, 1]",200
language_15,"[1, 1]",200
language_16,"[0, 1]",200
language_17,"[0, 1]",200
language_18,"[1, 1]",200
language_19,"[1, 1]",200
language_20,"[1, 1]",200
language_21,"[0, 1]",200
language_22,"[1, 1]",200
language_23,"[1, 1]",200
language_24,"[0, 1]",200
language_25,"[0, 1]",200
language_26,"[0, 1]",200
language_27,"[1, 1]",200
language_28,"[1, 1]",200
language_29,"[1, 1]",200
language_30,"[0, 1]",200
language_31,"[1, 1]",200
language_32,"[1, 1]",200
language_33,"[1, 1]",200
language_35,"[1, 0]",200
language_36,"[1, 1]",200
language_38,"[1, 1]",200
language_39,"[1, 1]",200
language_40,"[1, 1]",200
language_41,"[1, 1]",200
language_42,"[1, 1]",200
language_43,"[1, 1]",200
language_44,"[1, 1]",200
language_45,"[0, 1]",200
language_46,"[1, 1]",200
language_47,"[1, 1]",200
language_48,"[1, 0]",200
language_49,"[1, 0]",200
language_50,"[1, 1]",200
language_51,"[1, 1]",200
language_52,"[1, 1]",200
language_53,"[1, 1]",200
language_54,"[1, 1]",200
language_55,"[1, 1]",200
language_56,"[1, 1]",200
language_57,"[1, 1]",200
language_58,"[1, 1]",200
language_59,"[1, 1]",200
language_60,"[0, 1]",200
language_61,"[1, 1]",200
language_62,"[1, 1]",200
language_63,"[1, 1]",200
language_64,"[1, 0]",200
language_65,"[1, 1]",200
language_66,"[1, 1]",200
language_67,"[1, 1]",200
language_68,"[1, 1]",200
language_69,"[1, 1]",200
language_70,"[1, 1]",200
language_71,"[1, 1]",200
language_72,"[1, 1]",200
language_73,"[1, 1]",200
language_74,"[0, 0]",200
language_75,"[1, 0]",200
language_76,"[1, 1]",200
language_77,"[1, 0]",200
language_78,"[1, 0]",200
language_79,"[1, 1]",200
language_80,"[1, 1]",200
language_81,"[1, 1]",200
language_82,"[1, 1]",200
language_84,"[1, 1]",200
language_85,"[1, 1]",200
language_86,"[1, 1]",200
language_87,"[0, 1]",200
language_88,"[1, 1]",200
language_89,"[1, 1]",200
language_91,"[0, 1]",200
language_92,"[1, 1]",200
language_93,"[1, 1]",200
language_94,"[1, 1]",200
language_95,"[1, 1]",200
language_96,"[1, 1]",200
language_97,"[1, 1]",200
language_98,"[1, 0]",200
language_99,"[1, 1]",200
language_100,"[1, 1]",200
language_101,"[1, 1]",200
language_102,"[1, 0]",200
language_103,"[1, 1]",200
language_104,"[1, 1]",200
