LANGUAGE,GENDER,SET
language_1,"[1, 1]",429
language_2,"[1, 1]",429
language_3,"[1, 1]",429
language_4,"[1, 1]",429
language_5,"[1, 1]",429
language_6,"[1, 1]",429
language_7,"[1, 0]",429
language_9,"[1, 1]",429
language_10,"[0, 1]",429
language_11,"[1, 1]",429
language_12,"[1, 1]",429
language_14,"[1, 1]",429
language_16,"[1, 1]",429
language_17,"[1, 1]",429
language_18,"[1, 1]",429
language_19,"[0, 1]",429
language_20,"[1, 1]",429
language_21,"[1, 1]",429
language_22,"[1, 1]",429
language_23,"[1, 1]",429
language_24,"[0, 1]",429
language_25,"[1, 1]",429
language_26,"[0, 1]",429
language_27,"[1, 1]",429
language_28,"[1, 1]",429
language_30,"[1, 1]",429
language_31,"[1, 1]",429
language_32,"[1, 1]",429
language_33,"[0, 1]",429
language_35,"[1, 0]",429
language_36,"[1, 1]",429
language_37,"[1, 1]",429
language_38,"[1, 0]",429
language_39,"[1, 1]",429
language_40,"[1, 1]",429
language_41,"[1, 1]",429
language_42,"[1, 1]",429
language_43,"[1, 1]",429
language_44,"[0, 0]",429
language_46,"[1, 1]",429
language_47,"[1, 0]",429
language_48,"[1, 1]",429
language_49,"[1, 1]",429
language_50,"[1, 1]",429
language_51,"[1, 1]",429
language_52,"[0, 1]",429
language_53,"[1, 1]",429
language_54,"[1, 1]",429
language_55,"[1, 1]",429
language_56,"[1, 1]",429
language_57,"[1, 1]",429
language_58,"[1, 0]",429
language_59,"[1, 1]",429
language_60,"[1, 1]",429
language_61,"[1, 1]",429
language_62,"[0, 1]",429
language_63,"[1, 1]",429
language_64,"[1, 1]",429
language_65,"[1, 1]",429
language_66,"[1, 1]",429
language_67,"[1, 1]",429
language_69,"[1, 1]",429
language_70,"[1, 1]",429
language_71,"[0, 1]",429
language_72,"[1, 1]",429
language_73,"[1, 1]",429
language_74,"[1, 1]",429
language_75,"[1, 1]",429
language_76,"[1, 1]",429
language_77,"[1, 1]",429
language_78,"[1, 1]",429
language_79,"[0, 1]",429
language_80,"[1, 1]",429
language_81,"[0, 1]",429
language_82,"[1, 1]",429
language_83,"[0, 1]",429
language_85,"[1, 1]",429
language_86,"[1, 0]",429
language_87,"[1, 1]",429
language_88,"[1, 1]",429
language_89,"[1, 1]",429
language_90,"[1, 1]",429
language_91,"[1, 1]",429
language_92,"[1, 1]",429
language_93,"[1, 1]",429
language_94,"[1, 1]",429
language_96,"[1, 1]",429
language_97,"[1, 1]",429
