LANGUAGE,GENDER,SET
language_1,"[1, 1]",199
language_2,"[1, 1]",199
language_3,"[1, 1]",199
language_4,"[1, 1]",199
language_5,"[1, 1]",199
language_6,"[1, 1]",199
language_7,"[1, 1]",199
language_8,"[1, 1]",199
language_9,"[1, 1]",199
language_10,"[0, 1]",199
language_11,"[1, 1]",199
language_12,"[1, 1]",199
language_13,"[1, 1]",199
language_14,"[1, 1]",199
language_15,"[1, 1]",199
language_16,"[1, 1]",199
language_17,"[1, 1]",199
language_18,"[1, 1]",199
language_19,"[0, 1]",199
language_21,"[1, 1]",199
language_23,"[1, 0]",199
language_25,"[1, 1]",199
language_26,"[1, 1]",199
language_27,"[1, 1]",199
language_28,"[1, 1]",199
language_29,"[1, 1]",199
language_30,"[1, 1]",199
language_31,"[1, 0]",199
language_32,"[1, 1]",199
language_33,"[1, 0]",199
language_34,"[1, 1]",199
language_35,"[1, 1]",199
language_36,"[1, 1]",199
language_37,"[1, 0]",199
language_38,"[1, 1]",199
language_39,"[1, 1]",199
language_40,"[0, 1]",199
language_41,"[1, 1]",199
language_42,"[1, 1]",199
language_43,"[1, 1]",199
language_44,"[1, 1]",199
language_45,"[1, 1]",199
language_46,"[1, 1]",199
language_47,"[1, 1]",199
language_49,"[0, 1]",199
language_50,"[1, 0]",199
language_51,"[0, 1]",199
language_52,"[1, 1]",199
language_53,"[1, 0]",199
language_54,"[1, 0]",199
language_55,"[1, 1]",199
language_56,"[1, 1]",199
language_57,"[1, 1]",199
language_58,"[1, 1]",199
language_59,"[1, 1]",199
language_60,"[1, 0]",199
language_61,"[1, 1]",199
language_62,"[0, 1]",199
language_64,"[1, 1]",199
language_65,"[0, 1]",199
language_66,"[1, 1]",199
language_67,"[1, 1]",199
language_68,"[1, 1]",199
language_70,"[1, 1]",199
language_71,"[1, 1]",199
language_72,"[1, 1]",199
language_73,"[1, 1]",199
language_74,"[1, 1]",199
language_76,"[0, 1]",199
language_77,"[1, 1]",199
language_78,"[1, 1]",199
language_80,"[0, 1]",199
language_81,"[1, 1]",199
language_82,"[1, 1]",199
language_83,"[1, 1]",199
language_84,"[1, 1]",199
language_85,"[1, 1]",199
language_86,"[1, 1]",199
language_88,"[1, 0]",199
language_89,"[1, 1]",199
language_90,"[1, 1]",199
language_91,"[1, 1]",199
language_92,"[1, 1]",199
language_93,"[0, 1]",199
language_94,"[1, 1]",199
language_95,"[1, 1]",199
language_96,"[1, 1]",199
language_97,"[1, 1]",199
language_98,"[1, 1]",199
language_99,"[1, 1]",199
language_100,"[1, 1]",199
language_101,"[1, 1]",199
language_102,"[1, 1]",199
language_104,"[1, 1]",199
language_105,"[1, 1]",199
language_106,"[0, 0]",199
language_107,"[1, 1]",199
language_108,"[1, 1]",199
language_110,"[1, 1]",199
language_111,"[1, 1]",199
language_112,"[1, 1]",199
language_113,"[1, 1]",199
language_114,"[1, 1]",199
language_115,"[1, 1]",199
language_116,"[1, 0]",199
language_117,"[1, 0]",199
language_118,"[1, 1]",199
language_119,"[1, 1]",199
language_120,"[1, 1]",199
language_121,"[1, 1]",199
language_122,"[1, 0]",199
language_123,"[1, 1]",199
language_124,"[1, 1]",199
language_125,"[1, 1]",199
language_126,"[1, 1]",199
language_127,"[1, 1]",199
language_128,"[1, 1]",199
language_129,"[1, 1]",199
language_130,"[1, 1]",199
language_131,"[1, 0]",199
language_132,"[1, 1]",199
language_133,"[1, 1]",199
language_134,"[1, 1]",199
language_135,"[1, 1]",199
language_136,"[1, 1]",199
language_137,"[1, 1]",199
language_138,"[0, 1]",199
language_139,"[1, 1]",199
language_140,"[1, 1]",199
language_141,"[1, 1]",199
language_142,"[1, 1]",199
language_143,"[1, 1]",199
language_144,"[1, 1]",199
language_146,"[1, 1]",199
language_147,"[0, 1]",199
language_148,"[1, 1]",199
language_149,"[0, 0]",199
language_150,"[1, 0]",199
language_151,"[1, 1]",199
language_152,"[1, 1]",199
language_153,"[1, 1]",199
language_154,"[1, 1]",199
language_155,"[1, 1]",199
language_156,"[1, 1]",199
language_157,"[1, 1]",199
language_158,"[1, 1]",199
language_159,"[1, 1]",199
language_160,"[1, 0]",199
language_161,"[1, 1]",199
language_162,"[1, 1]",199
language_163,"[1, 1]",199
language_164,"[1, 1]",199
language_165,"[1, 1]",199
language_166,"[1, 1]",199
language_167,"[1, 1]",199
language_168,"[1, 1]",199
language_169,"[1, 1]",199
language_170,"[1, 1]",199
language_171,"[1, 1]",199
language_172,"[1, 1]",199
language_173,"[1, 1]",199
language_174,"[1, 1]",199
language_175,"[1, 1]",199
language_176,"[1, 1]",199
language_177,"[1, 1]",199
language_178,"[1, 1]",199
language_179,"[1, 1]",199
language_180,"[1, 1]",199
language_181,"[1, 1]",199
language_182,"[1, 1]",199
language_183,"[1, 1]",199
language_184,"[1, 1]",199
language_185,"[1, 1]",199
language_186,"[1, 1]",199
language_187,"[1, 1]",199
language_188,"[1, 1]",199
language_189,"[1, 1]",199
language_190,"[1, 1]",199
language_191,"[1, 1]",199
language_192,"[0, 1]",199
language_193,"[1, 1]",199
language_194,"[1, 1]",199
language_195,"[1, 1]",199
language_196,"[1, 1]",199
language_197,"[1, 1]",199
language_198,"[0, 1]",199
language_199,"[1, 1]",199
language_200,"[1, 1]",199
language_201,"[1, 1]",199
language_203,"[1, 1]",199
language_204,"[1, 1]",199
language_205,"[1, 1]",199
language_206,"[1, 1]",199
language_207,"[1, 1]",199
language_208,"[1, 1]",199
language_209,"[1, 1]",199
language_210,"[1, 1]",199
language_211,"[1, 1]",199
language_212,"[1, 1]",199
language_213,"[1, 1]",199
language_214,"[1, 1]",199
language_216,"[1, 1]",199
language_217,"[1, 1]",199
language_218,"[1, 1]",199
language_219,"[1, 0]",199
language_220,"[1, 1]",199
language_221,"[1, 1]",199
language_222,"[1, 1]",199
language_223,"[1, 1]",199
language_224,"[1, 1]",199
language_225,"[0, 1]",199
language_226,"[1, 1]",199
language_227,"[0, 1]",199
language_228,"[1, 1]",199
language_229,"[1, 1]",199
language_230,"[1, 0]",199
language_231,"[1, 1]",199
language_232,"[0, 1]",199
language_233,"[1, 1]",199
language_234,"[1, 1]",199
language_235,"[1, 1]",199
language_236,"[1, 1]",199
language_237,"[1, 1]",199
language_238,"[1, 1]",199
language_239,"[1, 1]",199
language_240,"[1, 1]",199
language_241,"[1, 1]",199
language_242,"[0, 1]",199
language_243,"[1, 1]",199
language_245,"[1, 1]",199
language_246,"[1, 1]",199
language_247,"[1, 1]",199
language_248,"[1, 1]",199
language_249,"[1, 1]",199
language_250,"[1, 1]",199
language_251,"[1, 0]",199
language_252,"[1, 1]",199
language_253,"[1, 1]",199
language_254,"[0, 1]",199
language_255,"[1, 1]",199
language_256,"[1, 1]",199
language_257,"[1, 1]",199
language_258,"[0, 1]",199
language_259,"[0, 1]",199
language_260,"[1, 1]",199
language_261,"[1, 1]",199
language_262,"[1, 1]",199
language_263,"[1, 1]",199
language_264,"[1, 1]",199
language_265,"[1, 1]",199
language_266,"[1, 1]",199
language_267,"[1, 1]",199
language_268,"[1, 0]",199
language_269,"[1, 1]",199
language_270,"[1, 1]",199
language_271,"[1, 1]",199
language_272,"[1, 1]",199
language_273,"[1, 0]",199
language_274,"[1, 1]",199
language_275,"[1, 1]",199
language_276,"[1, 1]",199
language_278,"[1, 1]",199
language_279,"[1, 1]",199
language_280,"[1, 1]",199
language_282,"[0, 1]",199
language_283,"[1, 1]",199
language_284,"[0, 1]",199
language_285,"[1, 1]",199
language_286,"[1, 0]",199
language_287,"[1, 1]",199
language_288,"[1, 0]",199
language_289,"[1, 1]",199
language_290,"[1, 1]",199
language_291,"[1, 1]",199
language_292,"[1, 1]",199
language_293,"[1, 1]",199
language_294,"[1, 1]",199
language_295,"[1, 1]",199
language_297,"[1, 1]",199
language_298,"[0, 1]",199
language_299,"[1, 1]",199
language_300,"[1, 1]",199
language_301,"[1, 1]",199
language_302,"[1, 1]",199
language_303,"[1, 1]",199
language_304,"[1, 1]",199
language_308,"[1, 1]",199
language_309,"[0, 1]",199
language_311,"[1, 1]",199
language_312,"[0, 1]",199
language_313,"[0, 1]",199
language_314,"[1, 1]",199
language_315,"[1, 1]",199
language_316,"[1, 1]",199
language_317,"[1, 1]",199
language_318,"[1, 1]",199
language_319,"[1, 1]",199
language_320,"[1, 0]",199
language_321,"[1, 1]",199
language_322,"[1, 1]",199
language_323,"[1, 0]",199
language_324,"[1, 1]",199
language_325,"[0, 1]",199
language_326,"[1, 1]",199
language_327,"[1, 1]",199
language_328,"[1, 1]",199
language_329,"[1, 1]",199
language_330,"[1, 1]",199
language_331,"[1, 1]",199
language_332,"[1, 1]",199
language_333,"[1, 1]",199
language_334,"[0, 1]",199
language_336,"[0, 1]",199
language_337,"[1, 1]",199
language_338,"[1, 1]",199
language_340,"[1, 1]",199
language_341,"[1, 1]",199
language_343,"[1, 1]",199
language_344,"[1, 1]",199
language_345,"[1, 1]",199
language_346,"[1, 1]",199
language_347,"[0, 1]",199
language_348,"[1, 1]",199
language_349,"[1, 1]",199
language_350,"[1, 1]",199
language_351,"[1, 1]",199
language_352,"[1, 1]",199
language_353,"[1, 1]",199
language_354,"[0, 1]",199
language_355,"[1, 1]",199
language_356,"[1, 1]",199
