TYPE,TERM
mB,bhāyī
mZ,paiṇa
myB,nikka prā
myZ,nikkī paiṇa
mFZD,cacera (bhāi)
mFBD,cacera (bhāi)
mMBD,cacera (bhāi)
mMZD,cacera (bhāi)
mFBS,cacera (bhāi)
mFZS,cacera (bhāi)
mMBS,cacera (bhāi)
mMZS,cacera (bhāi)
meB,bhāyī
meZ,paiṇa
mFeBS,cacera (bhāi)
mFyBS,cacera (bhāi)
mFeZS,cacera (bhāi)
mFyZS,cacera (bhāi)
mFeBD,cacera (bhāi)
mFyBD,cacera (bhāi)
mFeZD,cacera (bhāi)
mFyZD,cacera (bhāi)
mMeBS,cacera (bhāi)
mMyBS,cacera (bhāi)
mMeZS,cacera (bhāi)
mMyZS,cacera (bhāi)
mMeBD,cacera (bhāi)
mMyBD,cacera (bhāi)
mMeZD,cacera (bhāi)
mMyZD,cacera (bhāi)
mFBeS,cacera (bhāi)
mFByS,cacera (bhāi)
mFZeS,cacera (bhāi)
mFZyS,cacera (bhāi)
mFBeD,cacera (bhāi)
mFByD,cacera (bhāi)
mFZeD,cacera (bhāi)
mFZyD,cacera (bhāi)
mMBeS,cacera (bhāi)
mMByS,cacera (bhāi)
mMZeS,cacera (bhāi)
mMZyS,cacera (bhāi)
mMBeD,cacera (bhāi)
mMByD,cacera (bhāi)
mMZeD,cacera (bhāi)
mMZyD,cacera (bhāi)
mFB,yɨɨm
mFZ,o-tam-ru
mMB,o-tam-ru
mMZ,yɨ-son
mFeB,yɨɨm
mFyB,yɨɨm
mFeZ,o-tam-ru
mFyZ,o-tam-ru
mMeZ,yɨ-son
mMyZ,yɨ-son
mMeB,o-tam-ru
mMyB,o-tam-ru
