LANGUAGE,GENDER,SET
language_1,"[1, 1]",867
language_2,"[1, 1]",867
language_3,"[1, 1]",867
language_4,"[1, 1]",867
language_5,"[0, 1]",867
language_6,"[1, 1]",867
language_7,"[1, 1]",867
language_8,"[1, 1]",867
language_9,"[1, 1]",867
language_10,"[1, 1]",867
language_11,"[1, 1]",867
language_12,"[1, 1]",867
language_13,"[1, 1]",867
language_14,"[1, 1]",867
language_15,"[1, 1]",867
language_16,"[1, 1]",867
language_17,"[1, 1]",867
language_18,"[1, 1]",867
language_19,"[1, 1]",867
language_21,"[1, 1]",867
language_22,"[1, 1]",867
language_23,"[1, 1]",867
language_24,"[0, 1]",867
language_25,"[1, 0]",867
language_26,"[1, 1]",867
language_28,"[1, 1]",867
language_29,"[1, 1]",867
language_30,"[1, 1]",867
language_31,"[0, 1]",867
language_32,"[1, 1]",867
language_33,"[1, 1]",867
language_34,"[1, 0]",867
language_35,"[1, 1]",867
language_37,"[1, 1]",867
language_38,"[0, 1]",867
language_39,"[1, 1]",867
language_40,"[1, 1]",867
language_41,"[0, 1]",867
language_42,"[1, 1]",867
language_43,"[1, 1]",867
language_44,"[1, 1]",867
language_45,"[1, 1]",867
language_46,"[1, 1]",867
language_48,"[1, 1]",867
language_49,"[1, 1]",867
language_50,"[1, 1]",867
language_51,"[1, 0]",867
language_52,"[1, 1]",867
language_53,"[0, 1]",867
language_55,"[1, 1]",867
language_56,"[1, 1]",867
language_57,"[1, 1]",867
language_58,"[1, 1]",867
language_59,"[1, 1]",867
language_60,"[1, 1]",867
language_61,"[1, 1]",867
language_63,"[1, 0]",867
language_64,"[1, 1]",867
language_65,"[1, 1]",867
language_67,"[1, 1]",867
language_68,"[1, 1]",867
language_69,"[1, 1]",867
language_70,"[1, 1]",867
language_71,"[0, 1]",867
language_72,"[1, 1]",867
language_73,"[1, 1]",867
language_74,"[1, 1]",867
language_75,"[1, 0]",867
language_76,"[0, 1]",867
language_77,"[1, 1]",867
language_78,"[1, 1]",867
language_79,"[1, 1]",867
language_80,"[1, 1]",867
language_81,"[1, 1]",867
language_82,"[1, 1]",867
language_84,"[1, 1]",867
language_85,"[1, 1]",867
language_87,"[1, 1]",867
language_88,"[0, 1]",867
language_89,"[1, 1]",867
language_90,"[1, 1]",867
language_91,"[1, 1]",867
language_92,"[1, 1]",867
language_93,"[1, 1]",867
language_94,"[0, 0]",867
language_95,"[1, 1]",867
language_96,"[1, 1]",867
language_97,"[1, 1]",867
language_98,"[1, 1]",867
language_99,"[0, 1]",867
language_100,"[1, 1]",867
language_101,"[1, 1]",867
language_102,"[0, 1]",867
language_103,"[1, 1]",867
language_104,"[0, 1]",867
language_105,"[1, 1]",867
language_106,"[1, 0]",867
language_107,"[1, 1]",867
language_108,"[1, 0]",867
language_109,"[0, 1]",867
language_110,"[0, 1]",867
language_111,"[1, 1]",867
language_112,"[1, 1]",867
language_113,"[1, 1]",867
language_114,"[1, 1]",867
language_115,"[1, 1]",867
