TYPE,TERM
meB,ağabey
myB,kardeš
meZ,abla
myZ,kardeš
mFBS,kuzen
mFZS,kuzen
mMBS,kuzen
mMZS,kuzen
mFBD,kuzen
mFZD,kuzen
mMBD,kuzen
mMZD,kuzen
mFeBS,kuzen
mFyBS,kuzen
mFeZS,kuzen
mFyZS,kuzen
mFeBD,kuzen
mFyBD,kuzen
mFeZD,kuzen
mFyZD,kuzen
mMeBS,kuzen
mMyBS,kuzen
mMeZS,kuzen
mMyZS,kuzen
mMeBD,kuzen
mMyBD,kuzen
mMeZD,kuzen
mMyZD,kuzen
mFBeS,kuzen
mFByS,kuzen
mFZeS,kuzen
mFZyS,kuzen
mFBeD,kuzen
mFByD,kuzen
mFZeD,kuzen
mFZyD,kuzen
mMBeS,kuzen
mMByS,kuzen
mMZeS,kuzen
mMZyS,kuzen
mMBeD,kuzen
mMByD,kuzen
mMZeD,kuzen
mMZyD,kuzen
mFB,däd’
mFZ,tädi
mMB,däd’
mMZ,tädi
mFeB,däd’
mFyB,däd’
mFeZ,tädi
mFyZ,tädi
mMeZ,tädi
mMyZ,tädi
mMeB,däd’
mMyB,däd’
