LANGUAGE,GENDER
language_1,"[1, 1]"
language_2,"[1, 1]"
language_3,"[1, 1]"
language_4,"[1, 1]"
language_5,"[1, 1]"
language_6,"[1, 1]"
language_7,"[1, 1]"
language_8,"[1, 1]"
language_9,"[1, 1]"
language_10,"[1, 1]"
language_11,"[0, 1]"
language_12,"[1, 1]"
language_13,"[1, 1]"
language_14,"[1, 1]"
language_15,"[1, 1]"
language_16,"[1, 1]"
language_17,"[1, 1]"
language_18,"[1, 1]"
language_19,"[1, 1]"
language_20,"[1, 1]"
language_21,"[1, 1]"
language_22,"[1, 1]"
language_23,"[0, 1]"
language_24,"[1, 1]"
language_25,"[1, 1]"
language_26,"[1, 1]"
language_27,"[1, 1]"
language_28,"[1, 1]"
language_29,"[1, 1]"
language_30,"[1, 1]"
language_32,"[1, 1]"
language_33,"[1, 1]"
language_34,"[1, 1]"
language_35,"[1, 1]"
language_37,"[1, 1]"
language_38,"[1, 1]"
language_40,"[1, 1]"
language_42,"[0, 1]"
language_43,"[1, 1]"
language_44,"[1, 1]"
language_47,"[1, 1]"
language_48,"[1, 1]"
language_49,"[1, 1]"
language_51,"[1, 0]"
language_52,"[0, 0]"
language_53,"[1, 1]"
language_55,"[0, 1]"
language_56,"[1, 1]"
language_57,"[1, 0]"
language_58,"[1, 1]"
language_59,"[1, 1]"
language_60,"[1, 1]"
language_61,"[1, 1]"
language_62,"[1, 0]"
language_64,"[1, 1]"
language_66,"[1, 1]"
language_67,"[0, 1]"
language_68,"[1, 1]"
language_69,"[1, 1]"
language_70,"[1, 1]"
language_71,"[1, 0]"
language_72,"[1, 1]"
language_73,"[0, 0]"
language_74,"[1, 1]"
language_75,"[1, 0]"
language_76,"[1, 1]"
language_77,"[0, 1]"
language_78,"[1, 1]"
language_79,"[1, 1]"
language_80,"[1, 1]"
language_81,"[1, 1]"
language_82,"[1, 0]"
language_83,"[1, 1]"
language_84,"[1, 1]"
language_85,"[1, 0]"
language_87,"[1, 0]"
language_88,"[1, 1]"
language_89,"[1, 1]"
language_90,"[1, 0]"
language_91,"[1, 1]"
language_92,"[1, 1]"
language_93,"[1, 1]"
language_94,"[1, 1]"
language_95,"[1, 1]"
language_96,"[1, 1]"
language_98,"[1, 1]"
language_99,"[0, 0]"
language_100,"[1, 1]"
language_101,"[1, 1]"
language_102,"[0, 1]"
language_104,"[1, 1]"
language_105,"[1, 1]"
language_107,"[0, 1]"
language_108,"[1, 1]"
language_109,"[1, 1]"
language_110,"[1, 1]"
language_111,"[0, 1]"
language_112,"[1, 1]"
language_113,"[1, 1]"
language_114,"[1, 1]"
language_115,"[1, 1]"
language_116,"[1, 1]"
language_117,"[1, 1]"
language_118,"[1, 1]"
language_119,"[1, 1]"
language_120,"[1, 1]"
language_121,"[1, 1]"
language_122,"[1, 1]"
language_123,"[1, 1]"
language_124,"[1, 1]"
language_125,"[1, 1]"
language_126,"[1, 1]"
language_127,"[0, 1]"
language_128,"[1, 0]"
language_129,"[0, 1]"
language_131,"[1, 1]"
language_132,"[1, 0]"
language_133,"[1, 1]"
language_134,"[1, 0]"
language_136,"[1, 1]"
language_137,"[1, 1]"
language_138,"[1, 1]"
language_139,"[1, 1]"
language_140,"[1, 0]"
language_141,"[1, 1]"
language_143,"[1, 1]"
language_144,"[1, 1]"
language_145,"[1, 1]"
language_146,"[1, 1]"
language_147,"[1, 1]"
language_148,"[1, 1]"
language_149,"[1, 1]"
language_150,"[1, 1]"
language_151,"[1, 1]"
language_152,"[1, 1]"
language_153,"[1, 1]"
language_154,"[1, 1]"
language_155,"[0, 1]"
language_156,"[1, 1]"
language_157,"[1, 1]"
language_158,"[1, 1]"
language_159,"[1, 1]"
language_160,"[1, 1]"
language_161,"[1, 1]"
language_162,"[1, 1]"
language_163,"[1, 1]"
language_164,"[1, 1]"
language_165,"[1, 1]"
language_167,"[1, 1]"
language_169,"[1, 1]"
language_171,"[1, 1]"
language_172,"[1, 1]"
language_173,"[1, 1]"
language_174,"[0, 1]"
language_175,"[0, 0]"
language_176,"[1, 1]"
language_177,"[1, 1]"
language_178,"[1, 0]"
language_179,"[1, 1]"
language_180,"[1, 1]"
language_181,"[1, 1]"
language_182,"[1, 1]"
language_183,"[1, 1]"
language_184,"[1, 1]"
language_185,"[0, 1]"
language_186,"[1, 1]"
language_187,"[1, 1]"
language_188,"[1, 1]"
language_189,"[1, 1]"
language_190,"[1, 1]"
language_191,"[1, 1]"
language_192,"[0, 1]"
language_193,"[1, 1]"
language_194,"[1, 1]"
language_195,"[1, 1]"
language_196,"[1, 1]"
language_197,"[1, 1]"
language_199,"[1, 0]"
language_200,"[1, 1]"
language_201,"[1, 1]"
language_202,"[1, 1]"
language_203,"[1, 1]"
language_204,"[1, 1]"
language_206,"[1, 1]"
language_207,"[1, 1]"
language_208,"[1, 1]"
language_209,"[0, 1]"
language_210,"[0, 1]"
language_212,"[0, 1]"
language_213,"[1, 1]"
language_214,"[1, 1]"
language_215,"[1, 1]"
language_216,"[1, 1]"
language_217,"[1, 0]"
language_218,"[1, 1]"
language_219,"[1, 1]"
language_220,"[1, 1]"
language_221,"[1, 1]"
language_222,"[1, 1]"
language_223,"[1, 1]"
language_224,"[1, 1]"
language_225,"[1, 1]"
language_226,"[1, 1]"
language_227,"[1, 1]"
language_228,"[0, 0]"
language_229,"[1, 0]"
language_230,"[0, 1]"
language_231,"[1, 1]"
language_232,"[1, 1]"
language_233,"[1, 1]"
language_234,"[1, 1]"
language_235,"[1, 1]"
language_236,"[1, 1]"
language_237,"[1, 1]"
language_238,"[1, 1]"
language_239,"[1, 1]"
language_240,"[1, 1]"
language_242,"[1, 1]"
language_243,"[1, 1]"
language_244,"[1, 1]"
language_245,"[1, 1]"
language_246,"[1, 1]"
language_247,"[1, 1]"
language_248,"[0, 1]"
language_249,"[1, 1]"
language_250,"[1, 0]"
language_251,"[1, 1]"
language_252,"[1, 1]"
language_253,"[1, 1]"
language_254,"[1, 1]"
language_255,"[1, 1]"
language_257,"[0, 1]"
language_258,"[1, 1]"
language_259,"[0, 1]"
language_260,"[1, 1]"
language_261,"[1, 1]"
language_262,"[1, 1]"
language_263,"[1, 1]"
language_264,"[1, 1]"
language_265,"[1, 1]"
language_266,"[1, 1]"
language_267,"[1, 1]"
language_268,"[1, 1]"
language_269,"[1, 1]"
language_270,"[1, 1]"
language_271,"[0, 1]"
language_272,"[1, 1]"
language_273,"[1, 1]"
language_274,"[1, 0]"
language_275,"[1, 1]"
language_276,"[1, 1]"
language_277,"[0, 1]"
language_278,"[1, 1]"
language_279,"[1, 1]"
language_280,"[1, 1]"
language_281,"[1, 1]"
language_282,"[1, 1]"
language_283,"[0, 1]"
language_284,"[1, 1]"
language_286,"[1, 1]"
language_287,"[0, 1]"
language_289,"[1, 1]"
language_290,"[1, 1]"
language_291,"[1, 1]"
language_292,"[1, 1]"
language_293,"[1, 1]"
language_294,"[1, 1]"
language_295,"[1, 1]"
language_296,"[1, 1]"
language_297,"[1, 1]"
language_298,"[1, 0]"
language_300,"[1, 1]"
language_301,"[1, 1]"
language_302,"[1, 1]"
language_303,"[1, 1]"
language_304,"[0, 1]"
language_305,"[1, 0]"
language_306,"[0, 1]"
language_307,"[1, 1]"
language_308,"[1, 1]"
language_310,"[1, 1]"
language_311,"[1, 1]"
language_312,"[1, 1]"
language_313,"[1, 0]"
language_314,"[1, 1]"
language_315,"[1, 1]"
language_316,"[1, 1]"
language_317,"[1, 1]"
language_318,"[1, 1]"
language_319,"[1, 1]"
language_320,"[1, 1]"
language_321,"[1, 1]"
language_322,"[0, 1]"
language_323,"[1, 1]"
language_324,"[1, 1]"
language_326,"[1, 1]"
language_327,"[1, 0]"
language_328,"[1, 1]"
language_329,"[1, 1]"
language_331,"[1, 1]"
language_332,"[1, 1]"
language_333,"[1, 1]"
language_334,"[1, 1]"
language_335,"[1, 1]"
language_336,"[1, 1]"
language_337,"[1, 0]"
language_338,"[0, 1]"
language_339,"[1, 1]"
language_340,"[1, 1]"
language_341,"[1, 0]"
language_342,"[1, 0]"
language_343,"[1, 1]"
language_344,"[1, 1]"
language_345,"[1, 1]"
language_347,"[1, 1]"
language_348,"[1, 1]"
language_349,"[0, 1]"
language_350,"[1, 1]"
language_351,"[1, 0]"
language_352,"[1, 1]"
language_353,"[1, 1]"
language_354,"[1, 1]"
language_355,"[1, 1]"
language_356,"[1, 1]"
language_357,"[1, 1]"
language_358,"[1, 1]"
language_359,"[1, 1]"
language_360,"[1, 1]"
language_361,"[1, 1]"
language_362,"[1, 1]"
language_363,"[0, 1]"
language_365,"[1, 1]"
language_366,"[0, 1]"
language_367,"[1, 1]"
language_368,"[1, 1]"
language_369,"[1, 1]"
language_370,"[1, 1]"
language_372,"[1, 1]"
language_373,"[1, 0]"
language_374,"[1, 1]"
language_375,"[1, 1]"
language_376,"[1, 1]"
