LANGUAGE,GENDER
language_1,"[1, 1]"
language_2,"[1, 1]"
language_3,"[1, 1]"
language_5,"[1, 1]"
language_6,"[1, 1]"
language_7,"[1, 1]"
language_8,"[1, 1]"
language_9,"[1, 1]"
language_10,"[1, 1]"
language_11,"[1, 1]"
language_12,"[1, 1]"
language_13,"[1, 1]"
language_14,"[1, 1]"
language_15,"[1, 1]"
language_16,"[1, 1]"
language_17,"[1, 1]"
language_18,"[1, 1]"
language_19,"[1, 1]"
language_20,"[1, 1]"
language_21,"[1, 1]"
language_22,"[1, 1]"
language_23,"[1, 1]"
language_24,"[1, 1]"
language_25,"[1, 1]"
language_26,"[0, 1]"
language_27,"[1, 0]"
language_28,"[1, 0]"
language_29,"[1, 0]"
language_30,"[1, 1]"
language_31,"[0, 0]"
language_32,"[1, 1]"
language_33,"[1, 1]"
language_34,"[1, 0]"
language_35,"[1, 1]"
language_36,"[1, 1]"
language_37,"[1, 1]"
language_38,"[1, 1]"
language_39,"[1, 1]"
language_40,"[1, 1]"
language_41,"[1, 1]"
language_43,"[1, 1]"
language_44,"[1, 1]"
language_45,"[0, 0]"
language_46,"[1, 1]"
language_48,"[1, 1]"
language_49,"[1, 1]"
language_50,"[0, 1]"
language_51,"[1, 1]"
language_52,"[1, 1]"
language_53,"[1, 1]"
language_54,"[0, 1]"
language_55,"[1, 1]"
language_56,"[0, 1]"
language_57,"[1, 1]"
language_58,"[1, 1]"
language_59,"[1, 1]"
language_60,"[1, 0]"
language_61,"[0, 1]"
language_62,"[1, 1]"
language_63,"[1, 0]"
language_64,"[1, 0]"
language_65,"[1, 1]"
language_66,"[1, 1]"
language_67,"[1, 1]"
language_68,"[1, 1]"
language_69,"[1, 1]"
language_70,"[1, 1]"
language_71,"[1, 1]"
language_72,"[1, 1]"
language_73,"[1, 1]"
language_74,"[1, 1]"
language_75,"[1, 1]"
language_76,"[0, 1]"
language_78,"[0, 1]"
language_79,"[1, 1]"
language_80,"[1, 1]"
language_81,"[1, 1]"
language_82,"[1, 1]"
language_83,"[1, 1]"
language_84,"[1, 0]"
language_85,"[1, 1]"
language_86,"[1, 1]"
language_87,"[1, 1]"
language_88,"[1, 1]"
language_90,"[1, 1]"
language_91,"[1, 1]"
language_92,"[1, 1]"
language_93,"[1, 0]"
language_94,"[1, 1]"
language_96,"[1, 1]"
language_97,"[1, 1]"
language_98,"[1, 1]"
language_99,"[1, 1]"
language_100,"[1, 1]"
language_101,"[1, 1]"
language_102,"[1, 1]"
language_103,"[0, 1]"
language_104,"[1, 1]"
language_105,"[0, 1]"
language_106,"[1, 1]"
language_107,"[1, 1]"
language_108,"[1, 1]"
language_109,"[1, 1]"
language_110,"[1, 1]"
language_111,"[1, 1]"
language_113,"[1, 1]"
language_114,"[1, 1]"
language_115,"[1, 1]"
language_116,"[1, 1]"
language_117,"[1, 1]"
language_118,"[1, 1]"
language_119,"[1, 0]"
language_120,"[1, 1]"
language_121,"[1, 1]"
language_122,"[1, 1]"
language_123,"[1, 1]"
language_124,"[1, 1]"
language_125,"[1, 0]"
language_126,"[1, 1]"
language_127,"[1, 1]"
language_128,"[1, 1]"
language_129,"[1, 1]"
language_130,"[1, 1]"
language_131,"[1, 1]"
language_133,"[1, 1]"
language_134,"[1, 1]"
language_135,"[1, 1]"
language_136,"[1, 1]"
language_137,"[1, 0]"
language_138,"[1, 1]"
language_139,"[1, 1]"
language_140,"[1, 1]"
language_141,"[0, 1]"
language_142,"[1, 1]"
language_143,"[1, 0]"
language_144,"[1, 1]"
language_146,"[0, 1]"
language_147,"[1, 1]"
language_148,"[1, 1]"
language_152,"[1, 1]"
language_153,"[1, 1]"
language_154,"[1, 1]"
language_155,"[1, 1]"
language_156,"[1, 1]"
language_157,"[1, 1]"
language_158,"[1, 1]"
language_160,"[1, 1]"
language_161,"[1, 1]"
language_162,"[1, 1]"
language_163,"[1, 1]"
language_164,"[1, 1]"
language_165,"[1, 1]"
language_166,"[1, 1]"
language_167,"[1, 1]"
language_168,"[1, 1]"
language_169,"[1, 1]"
language_170,"[1, 1]"
language_172,"[1, 1]"
language_173,"[0, 1]"
language_174,"[1, 1]"
language_175,"[1, 1]"
language_176,"[1, 1]"
language_177,"[1, 1]"
language_178,"[1, 1]"
language_179,"[0, 1]"
language_180,"[1, 1]"
language_181,"[1, 1]"
language_182,"[1, 1]"
language_183,"[1, 1]"
language_184,"[1, 1]"
language_185,"[1, 1]"
language_186,"[1, 1]"
language_187,"[1, 1]"
language_188,"[1, 1]"
language_189,"[1, 1]"
language_191,"[1, 1]"
language_192,"[1, 1]"
language_193,"[1, 1]"
language_194,"[1, 1]"
language_195,"[1, 1]"
language_196,"[1, 0]"
language_197,"[1, 1]"
language_198,"[1, 1]"
language_199,"[1, 1]"
language_200,"[1, 1]"
language_201,"[1, 1]"
language_203,"[1, 1]"
language_204,"[1, 1]"
language_205,"[1, 0]"
language_206,"[1, 1]"
language_207,"[1, 1]"
language_210,"[1, 1]"
language_211,"[1, 1]"
language_212,"[1, 1]"
language_213,"[1, 0]"
language_214,"[1, 1]"
language_215,"[1, 1]"
language_216,"[1, 1]"
language_217,"[1, 1]"
language_218,"[1, 1]"
language_219,"[1, 1]"
language_220,"[1, 1]"
language_221,"[1, 1]"
language_222,"[1, 1]"
language_224,"[1, 1]"
language_225,"[1, 0]"
language_226,"[1, 1]"
language_228,"[0, 1]"
language_229,"[1, 1]"
language_230,"[1, 0]"
language_231,"[1, 1]"
language_232,"[0, 0]"
language_233,"[1, 1]"
language_234,"[1, 1]"
language_236,"[1, 1]"
language_237,"[0, 1]"
language_238,"[1, 1]"
language_239,"[1, 1]"
language_240,"[1, 1]"
language_241,"[1, 1]"
language_242,"[1, 1]"
language_243,"[1, 1]"
language_244,"[1, 1]"
language_245,"[1, 1]"
language_246,"[0, 1]"
language_248,"[1, 1]"
language_249,"[1, 1]"
language_250,"[0, 1]"
language_251,"[1, 1]"
language_252,"[0, 1]"
language_253,"[1, 1]"
language_254,"[1, 1]"
language_255,"[1, 1]"
language_256,"[0, 1]"
language_257,"[1, 1]"
language_258,"[1, 1]"
language_259,"[1, 1]"
language_260,"[1, 1]"
language_261,"[1, 1]"
language_262,"[1, 1]"
language_263,"[0, 1]"
language_264,"[1, 1]"
language_265,"[1, 1]"
language_266,"[0, 1]"
language_267,"[1, 1]"
language_268,"[1, 1]"
language_270,"[1, 1]"
language_272,"[1, 1]"
language_273,"[1, 1]"
language_274,"[1, 1]"
language_275,"[1, 1]"
language_276,"[0, 1]"
language_277,"[1, 1]"
language_278,"[1, 1]"
language_279,"[1, 1]"
language_281,"[0, 1]"
language_282,"[1, 1]"
language_284,"[1, 1]"
language_285,"[1, 1]"
language_286,"[1, 1]"
language_287,"[1, 1]"
language_288,"[1, 1]"
language_289,"[1, 1]"
language_290,"[1, 1]"
language_291,"[1, 1]"
language_292,"[1, 1]"
language_293,"[1, 1]"
language_294,"[1, 1]"
language_296,"[1, 0]"
language_297,"[1, 1]"
language_298,"[1, 1]"
language_300,"[1, 1]"
language_302,"[1, 1]"
language_303,"[1, 1]"
language_304,"[1, 1]"
language_305,"[1, 1]"
language_306,"[1, 1]"
language_307,"[0, 1]"
language_308,"[1, 1]"
language_309,"[0, 1]"
language_310,"[1, 1]"
language_311,"[1, 1]"
language_312,"[1, 1]"
language_313,"[1, 1]"
language_314,"[1, 1]"
language_315,"[1, 1]"
language_316,"[1, 1]"
language_317,"[1, 1]"
language_318,"[1, 0]"
language_319,"[1, 1]"
language_320,"[1, 1]"
language_321,"[0, 1]"
language_322,"[1, 1]"
language_323,"[1, 1]"
language_324,"[1, 1]"
language_325,"[1, 1]"
language_326,"[0, 1]"
language_327,"[0, 0]"
language_328,"[1, 1]"
language_329,"[1, 1]"
language_330,"[0, 0]"
language_331,"[1, 1]"
language_332,"[1, 0]"
language_333,"[1, 1]"
language_334,"[1, 1]"
language_335,"[1, 1]"
language_336,"[1, 1]"
language_337,"[0, 1]"
language_338,"[1, 1]"
language_339,"[1, 1]"
language_340,"[1, 1]"
language_341,"[1, 1]"
language_342,"[1, 1]"
language_343,"[1, 1]"
language_344,"[1, 1]"
language_345,"[0, 1]"
language_347,"[1, 1]"
language_348,"[1, 1]"
language_349,"[0, 1]"
language_350,"[1, 1]"
language_351,"[1, 0]"
language_352,"[1, 1]"
language_353,"[1, 1]"
language_354,"[1, 0]"
language_356,"[1, 1]"
language_357,"[0, 1]"
language_359,"[1, 1]"
language_360,"[1, 1]"
language_361,"[1, 1]"
language_362,"[1, 1]"
language_363,"[1, 0]"
language_364,"[1, 1]"
language_365,"[1, 1]"
language_366,"[1, 1]"
language_367,"[1, 1]"
language_368,"[1, 1]"
language_369,"[1, 1]"
language_370,"[1, 1]"
language_371,"[1, 1]"
language_372,"[1, 1]"
language_373,"[1, 1]"
language_374,"[1, 1]"
