LANGUAGE,GENDER
language_2,"[1, 1]"
language_3,"[1, 1]"
language_4,"[1, 1]"
language_5,"[0, 1]"
language_6,"[1, 1]"
language_7,"[1, 1]"
language_8,"[0, 1]"
language_9,"[1, 1]"
language_10,"[1, 1]"
language_11,"[1, 1]"
language_12,"[1, 1]"
language_13,"[1, 1]"
language_14,"[1, 1]"
language_15,"[1, 0]"
language_16,"[1, 1]"
language_17,"[1, 1]"
language_18,"[1, 1]"
language_19,"[1, 1]"
language_20,"[1, 1]"
language_21,"[1, 1]"
language_22,"[1, 1]"
language_23,"[1, 1]"
language_24,"[1, 1]"
language_25,"[1, 1]"
language_26,"[1, 1]"
language_27,"[1, 0]"
language_28,"[1, 1]"
language_29,"[1, 1]"
language_30,"[1, 1]"
language_31,"[1, 1]"
language_32,"[1, 1]"
language_33,"[1, 1]"
language_35,"[1, 1]"
language_36,"[1, 1]"
language_37,"[1, 1]"
language_38,"[1, 1]"
language_39,"[0, 1]"
language_40,"[1, 1]"
language_41,"[1, 1]"
language_42,"[1, 1]"
language_43,"[1, 1]"
language_44,"[1, 1]"
language_45,"[1, 1]"
language_46,"[1, 1]"
language_47,"[1, 1]"
language_48,"[1, 1]"
language_49,"[1, 1]"
language_50,"[1, 1]"
language_51,"[1, 1]"
language_52,"[1, 1]"
language_53,"[1, 0]"
language_54,"[1, 0]"
language_55,"[1, 1]"
language_56,"[1, 1]"
language_57,"[1, 1]"
language_58,"[1, 1]"
language_59,"[1, 1]"
language_60,"[1, 1]"
language_61,"[1, 1]"
language_62,"[1, 1]"
language_63,"[1, 1]"
language_64,"[1, 1]"
language_65,"[1, 1]"
language_66,"[1, 1]"
language_67,"[1, 1]"
language_68,"[1, 1]"
language_69,"[1, 1]"
language_70,"[1, 1]"
language_72,"[1, 1]"
language_73,"[1, 1]"
language_74,"[1, 1]"
language_75,"[1, 1]"
language_76,"[1, 1]"
language_77,"[1, 1]"
language_78,"[0, 1]"
language_79,"[1, 1]"
language_80,"[1, 1]"
language_81,"[1, 1]"
