LANGUAGE,AGE
language_1,"[0, 1]"
language_2,"[0, 0]"
language_3,"[1, 0]"
language_4,"[1, 0]"
language_5,"[1, 0]"
language_6,"[0, 0]"
language_7,"[1, 0]"
language_9,"[1, 0]"
language_10,"[0, 0]"
language_11,"[1, 0]"
language_12,"[0, 1]"
language_13,"[1, 1]"
language_14,"[0, 0]"
language_15,"[1, 0]"
language_16,"[0, 0]"
language_17,"[1, 0]"
language_18,"[1, 0]"
language_19,"[0, 0]"
language_20,"[0, 0]"
language_21,"[0, 0]"
language_25,"[1, 0]"
language_26,"[0, 0]"
language_27,"[0, 0]"
language_28,"[0, 0]"
language_29,"[0, 0]"
language_30,"[1, 0]"
language_31,"[1, 0]"
language_32,"[0, 0]"
language_33,"[0, 0]"
language_34,"[1, 0]"
language_37,"[1, 1]"
language_38,"[0, 0]"
language_39,"[0, 0]"
language_40,"[1, 1]"
language_41,"[1, 0]"
language_42,"[1, 0]"
language_43,"[0, 0]"
language_44,"[1, 0]"
language_45,"[1, 0]"
language_46,"[1, 0]"
language_48,"[1, 0]"
language_49,"[0, 1]"
language_50,"[1, 1]"
language_51,"[0, 0]"
language_52,"[0, 0]"
language_53,"[0, 0]"
language_54,"[1, 0]"
language_56,"[1, 0]"
language_57,"[1, 0]"
language_58,"[1, 0]"
language_59,"[1, 0]"
language_60,"[1, 0]"
language_61,"[1, 0]"
language_62,"[1, 1]"
language_63,"[1, 1]"
language_64,"[1, 0]"
language_65,"[1, 0]"
language_66,"[0, 0]"
language_67,"[1, 0]"
language_69,"[1, 0]"
language_70,"[0, 0]"
language_71,"[0, 0]"
language_72,"[1, 0]"
language_73,"[1, 0]"
language_74,"[1, 0]"
language_75,"[1, 0]"
language_78,"[0, 0]"
language_80,"[0, 0]"
language_81,"[0, 0]"
language_82,"[1, 0]"
language_83,"[0, 0]"
language_84,"[1, 0]"
language_85,"[1, 1]"
language_86,"[0, 0]"
language_87,"[0, 0]"
language_88,"[0, 0]"
language_90,"[0, 1]"
language_91,"[1, 0]"
language_92,"[1, 0]"
language_93,"[1, 0]"
language_95,"[1, 0]"
language_96,"[1, 0]"
language_97,"[1, 0]"
language_98,"[0, 0]"
language_99,"[0, 0]"
language_100,"[1, 0]"
language_101,"[1, 0]"
language_102,"[1, 0]"
language_103,"[0, 0]"
language_104,"[0, 0]"
language_105,"[1, 0]"
language_106,"[1, 0]"
language_108,"[1, 0]"
language_109,"[1, 1]"
language_110,"[1, 0]"
language_111,"[1, 0]"
language_112,"[1, 0]"
language_113,"[1, 0]"
language_114,"[1, 0]"
language_115,"[1, 0]"
language_116,"[0, 0]"
language_118,"[1, 0]"
language_120,"[1, 1]"
language_121,"[0, 0]"
language_122,"[1, 0]"
language_123,"[1, 0]"
language_124,"[1, 0]"
language_125,"[1, 0]"
language_128,"[1, 0]"
language_130,"[1, 0]"
language_131,"[1, 0]"
language_132,"[0, 0]"
language_133,"[1, 0]"
language_134,"[1, 0]"
language_135,"[1, 0]"
language_136,"[1, 0]"
language_137,"[1, 0]"
language_138,"[1, 0]"
language_140,"[1, 0]"
language_142,"[0, 0]"
language_143,"[1, 0]"
language_144,"[1, 1]"
language_145,"[1, 0]"
language_146,"[1, 1]"
language_147,"[0, 0]"
language_149,"[0, 0]"
language_150,"[1, 0]"
language_151,"[1, 0]"
language_152,"[1, 0]"
language_154,"[0, 0]"
language_155,"[1, 0]"
language_156,"[1, 0]"
language_157,"[0, 0]"
language_161,"[0, 0]"
language_162,"[1, 0]"
language_163,"[1, 0]"
language_164,"[0, 0]"
language_166,"[1, 0]"
language_167,"[1, 1]"
language_168,"[0, 0]"
language_169,"[0, 1]"
language_170,"[0, 0]"
language_171,"[1, 1]"
language_172,"[0, 0]"
language_173,"[0, 0]"
language_174,"[0, 0]"
language_177,"[1, 0]"
language_178,"[1, 0]"
language_179,"[1, 0]"
language_180,"[1, 0]"
language_181,"[1, 0]"
language_182,"[1, 0]"
language_183,"[1, 0]"
language_184,"[1, 0]"
language_185,"[1, 0]"
language_186,"[1, 0]"
language_187,"[1, 0]"
language_188,"[1, 0]"
language_189,"[0, 0]"
language_190,"[0, 0]"
language_191,"[1, 0]"
language_192,"[1, 1]"
language_193,"[0, 0]"
language_194,"[1, 0]"
language_195,"[0, 0]"
language_196,"[1, 0]"
language_197,"[0, 0]"
language_198,"[1, 0]"
language_199,"[1, 0]"
language_200,"[1, 1]"
language_202,"[1, 0]"
language_203,"[1, 0]"
language_204,"[1, 0]"
language_207,"[1, 0]"
language_208,"[1, 0]"
language_209,"[0, 0]"
language_210,"[0, 0]"
language_211,"[1, 0]"
language_212,"[1, 0]"
language_213,"[0, 0]"
language_214,"[0, 1]"
language_217,"[1, 0]"
language_219,"[0, 0]"
language_221,"[1, 0]"
language_222,"[1, 0]"
language_223,"[1, 0]"
language_225,"[1, 1]"
language_226,"[1, 0]"
language_227,"[1, 0]"
language_229,"[0, 0]"
language_231,"[0, 0]"
language_232,"[0, 0]"
language_234,"[1, 0]"
language_235,"[1, 1]"
language_236,"[1, 0]"
language_238,"[1, 1]"
language_239,"[0, 0]"
language_240,"[1, 0]"
language_241,"[1, 0]"
language_242,"[1, 0]"
language_243,"[1, 0]"
language_244,"[1, 1]"
language_245,"[0, 0]"
language_246,"[1, 0]"
language_247,"[0, 0]"
language_248,"[0, 0]"
language_249,"[1, 0]"
language_250,"[0, 0]"
language_252,"[0, 0]"
language_253,"[0, 1]"
language_254,"[1, 0]"
language_255,"[1, 0]"
language_256,"[1, 0]"
language_257,"[0, 0]"
language_258,"[1, 0]"
language_260,"[1, 0]"
language_263,"[1, 0]"
language_264,"[0, 0]"
language_265,"[0, 0]"
language_266,"[1, 0]"
language_267,"[1, 0]"
language_268,"[1, 0]"
language_269,"[1, 0]"
language_270,"[1, 1]"
language_271,"[1, 0]"
language_272,"[0, 0]"
language_274,"[1, 0]"
language_275,"[1, 0]"
language_276,"[1, 0]"
language_277,"[1, 0]"
language_278,"[0, 0]"
language_279,"[1, 0]"
language_280,"[1, 1]"
language_281,"[1, 0]"
language_283,"[1, 0]"
language_284,"[1, 1]"
language_285,"[1, 0]"
language_286,"[1, 1]"
language_287,"[0, 0]"
language_289,"[1, 0]"
language_290,"[1, 0]"
language_291,"[1, 0]"
language_292,"[0, 0]"
language_293,"[1, 0]"
language_294,"[0, 0]"
language_295,"[0, 0]"
language_296,"[1, 0]"
language_297,"[0, 0]"
language_298,"[1, 0]"
language_299,"[1, 0]"
language_300,"[1, 1]"
language_301,"[1, 0]"
language_302,"[1, 0]"
language_303,"[1, 0]"
language_305,"[1, 0]"
language_307,"[1, 0]"
language_308,"[0, 0]"
language_310,"[0, 0]"
language_312,"[1, 0]"
language_314,"[0, 0]"
language_315,"[1, 0]"
language_316,"[0, 0]"
language_317,"[1, 0]"
language_319,"[1, 0]"
language_320,"[0, 1]"
language_324,"[1, 0]"
language_327,"[1, 0]"
language_328,"[1, 0]"
language_329,"[1, 0]"
language_330,"[0, 0]"
language_331,"[1, 0]"
language_332,"[1, 0]"
language_333,"[1, 0]"
language_334,"[1, 1]"
language_335,"[0, 0]"
language_338,"[1, 0]"
language_339,"[1, 0]"
language_340,"[0, 0]"
language_342,"[1, 0]"
language_343,"[1, 0]"
language_344,"[1, 0]"
language_345,"[1, 0]"
language_346,"[0, 0]"
language_347,"[0, 0]"
language_349,"[0, 0]"
language_350,"[1, 0]"
language_351,"[0, 1]"
language_352,"[1, 0]"
language_353,"[0, 1]"
language_354,"[0, 0]"
language_356,"[1, 0]"
language_357,"[1, 0]"
language_358,"[0, 0]"
language_360,"[1, 0]"
language_361,"[0, 0]"
language_362,"[0, 1]"
language_363,"[0, 0]"
language_365,"[0, 1]"
language_366,"[0, 0]"
language_367,"[0, 0]"
language_368,"[0, 0]"
language_369,"[0, 0]"
language_371,"[1, 0]"
language_374,"[0, 0]"
language_375,"[1, 0]"
language_376,"[1, 0]"
language_378,"[1, 0]"
language_379,"[1, 0]"
language_380,"[1, 1]"
language_381,"[1, 0]"
language_382,"[1, 0]"
language_383,"[1, 0]"
language_384,"[0, 0]"
language_385,"[0, 0]"
language_386,"[1, 0]"
language_387,"[1, 0]"
language_388,"[1, 0]"
language_389,"[1, 0]"
language_390,"[0, 0]"
language_391,"[1, 0]"
language_393,"[1, 1]"
language_394,"[1, 0]"
language_395,"[1, 0]"
language_396,"[1, 0]"
language_398,"[1, 0]"
language_399,"[1, 0]"
language_400,"[0, 1]"
language_401,"[1, 0]"
language_402,"[1, 0]"
language_403,"[1, 0]"
language_404,"[1, 0]"
language_405,"[1, 1]"
language_406,"[1, 0]"
language_407,"[1, 0]"
language_408,"[1, 0]"
language_409,"[0, 0]"
language_410,"[1, 0]"
language_411,"[1, 0]"
language_412,"[1, 0]"
language_413,"[1, 0]"
language_414,"[1, 0]"
language_415,"[0, 0]"
language_416,"[0, 0]"
language_417,"[0, 0]"
language_419,"[0, 1]"
language_420,"[1, 0]"
language_421,"[0, 0]"
language_423,"[0, 0]"
language_424,"[0, 0]"
language_425,"[1, 1]"
language_428,"[0, 0]"
language_429,"[0, 0]"
language_431,"[1, 0]"
language_432,"[1, 1]"
language_433,"[1, 0]"
language_434,"[1, 0]"
language_435,"[1, 0]"
language_437,"[0, 0]"
language_438,"[1, 0]"
language_440,"[1, 0]"
language_442,"[0, 1]"
language_443,"[1, 0]"
language_444,"[1, 0]"
language_445,"[1, 0]"
language_446,"[1, 0]"
language_448,"[1, 0]"
language_449,"[0, 0]"
language_451,"[1, 0]"
language_452,"[1, 0]"
language_454,"[1, 0]"
language_455,"[0, 0]"
language_456,"[1, 0]"
language_457,"[1, 1]"
language_458,"[1, 1]"
language_459,"[0, 0]"
language_461,"[1, 0]"
language_462,"[1, 0]"
language_463,"[0, 0]"
language_464,"[0, 0]"
language_466,"[1, 0]"
language_467,"[0, 0]"
language_468,"[0, 1]"
language_470,"[1, 0]"
language_471,"[1, 0]"
language_472,"[0, 0]"
language_474,"[1, 0]"
language_475,"[1, 0]"
language_476,"[1, 0]"
language_477,"[1, 0]"
language_479,"[1, 0]"
language_481,"[0, 1]"
language_482,"[1, 0]"
language_483,"[1, 0]"
language_486,"[1, 0]"
language_487,"[0, 0]"
language_488,"[1, 0]"
language_490,"[0, 0]"
language_491,"[1, 1]"
language_492,"[0, 0]"
language_494,"[0, 0]"
language_496,"[0, 1]"
language_498,"[0, 0]"
language_499,"[0, 0]"
language_500,"[0, 0]"
language_501,"[0, 0]"
language_503,"[0, 0]"
language_509,"[0, 0]"
language_510,"[0, 0]"
language_511,"[1, 0]"
language_512,"[1, 0]"
language_513,"[1, 0]"
language_514,"[1, 1]"
language_515,"[1, 0]"
language_516,"[0, 1]"
language_517,"[0, 0]"
language_518,"[1, 0]"
language_519,"[1, 0]"
language_521,"[1, 0]"
language_522,"[1, 0]"
language_523,"[1, 0]"
language_524,"[1, 0]"
language_527,"[1, 0]"
language_528,"[1, 0]"
language_529,"[1, 0]"
language_530,"[0, 1]"
language_531,"[0, 0]"
language_533,"[1, 0]"
language_534,"[0, 1]"
language_535,"[1, 0]"
language_537,"[0, 0]"
language_539,"[1, 0]"
language_540,"[1, 0]"
language_541,"[0, 0]"
language_542,"[0, 0]"
language_543,"[0, 0]"
language_544,"[0, 0]"
language_545,"[1, 0]"
language_546,"[1, 0]"
language_547,"[0, 0]"
language_548,"[1, 0]"
language_549,"[1, 0]"
language_550,"[1, 0]"
language_551,"[1, 0]"
language_552,"[1, 1]"
language_554,"[0, 0]"
language_555,"[0, 0]"
language_558,"[1, 0]"
language_559,"[1, 0]"
language_561,"[1, 0]"
language_562,"[1, 0]"
language_564,"[1, 0]"
language_565,"[0, 0]"
language_566,"[1, 1]"
language_567,"[0, 0]"
language_568,"[0, 0]"
language_569,"[1, 0]"
language_570,"[1, 0]"
language_571,"[1, 0]"
language_572,"[0, 0]"
language_574,"[1, 0]"
language_576,"[1, 0]"
language_578,"[1, 0]"
language_579,"[0, 0]"
language_580,"[1, 0]"
language_581,"[1, 0]"
language_582,"[0, 0]"
language_583,"[1, 0]"
language_584,"[1, 0]"
language_586,"[1, 1]"
language_587,"[1, 0]"
language_588,"[1, 0]"
language_589,"[0, 0]"
language_590,"[0, 0]"
language_591,"[1, 0]"
language_594,"[0, 0]"
language_595,"[1, 0]"
language_596,"[0, 0]"
language_597,"[1, 0]"
language_598,"[1, 0]"
language_599,"[1, 0]"
language_600,"[1, 0]"
language_601,"[0, 0]"
language_602,"[1, 1]"
language_603,"[1, 0]"
language_604,"[0, 0]"
language_605,"[1, 1]"
language_606,"[1, 1]"
language_607,"[0, 0]"
language_608,"[1, 0]"
language_609,"[1, 1]"
language_610,"[1, 0]"
language_611,"[1, 0]"
language_612,"[1, 1]"
language_613,"[0, 0]"
language_615,"[0, 0]"
language_616,"[0, 0]"
language_617,"[1, 0]"
language_618,"[1, 0]"
language_620,"[1, 0]"
language_621,"[1, 1]"
language_623,"[1, 0]"
language_625,"[1, 0]"
language_627,"[1, 0]"
language_628,"[1, 0]"
language_629,"[1, 0]"
language_630,"[0, 1]"
language_632,"[0, 1]"
language_633,"[0, 0]"
language_634,"[1, 0]"
language_635,"[0, 0]"
language_637,"[0, 0]"
language_638,"[0, 0]"
language_639,"[0, 0]"
language_642,"[1, 0]"
language_643,"[0, 0]"
language_644,"[1, 0]"
language_647,"[1, 0]"
language_648,"[0, 0]"
language_650,"[1, 0]"
language_651,"[1, 0]"
language_652,"[0, 1]"
language_653,"[0, 0]"
language_654,"[1, 0]"
language_655,"[1, 0]"
language_657,"[1, 0]"
language_658,"[0, 0]"
language_659,"[0, 0]"
language_660,"[1, 0]"
language_661,"[0, 0]"
language_663,"[1, 0]"
language_666,"[1, 0]"
language_667,"[0, 0]"
language_668,"[1, 0]"
language_669,"[1, 1]"
language_670,"[1, 0]"
language_672,"[1, 0]"
language_674,"[0, 0]"
language_676,"[0, 0]"
language_677,"[1, 0]"
language_680,"[0, 0]"
language_681,"[1, 0]"
language_682,"[1, 0]"
language_683,"[0, 1]"
language_684,"[1, 0]"
language_685,"[1, 0]"
language_686,"[1, 0]"
language_687,"[1, 0]"
language_688,"[1, 0]"
language_689,"[1, 0]"
language_690,"[0, 0]"
language_691,"[0, 0]"
language_692,"[0, 0]"
language_693,"[1, 0]"
language_694,"[0, 0]"
language_695,"[0, 0]"
language_697,"[1, 0]"
language_698,"[1, 0]"
language_699,"[1, 1]"
language_700,"[1, 0]"
language_702,"[0, 0]"
language_703,"[0, 0]"
language_704,"[1, 0]"
language_705,"[0, 0]"
language_706,"[1, 0]"
language_707,"[0, 0]"
language_709,"[1, 0]"
language_710,"[0, 0]"
language_711,"[1, 0]"
language_712,"[0, 1]"
language_713,"[0, 0]"
language_714,"[0, 0]"
language_715,"[1, 0]"
language_716,"[1, 0]"
language_717,"[0, 0]"
language_718,"[1, 0]"
language_719,"[1, 0]"
language_720,"[1, 0]"
language_721,"[0, 0]"
language_722,"[0, 0]"
language_725,"[1, 0]"
language_726,"[0, 0]"
language_728,"[1, 0]"
language_729,"[1, 0]"
language_730,"[1, 0]"
language_731,"[0, 1]"
language_733,"[1, 0]"
language_734,"[1, 0]"
language_735,"[1, 0]"
language_736,"[0, 1]"
language_737,"[1, 0]"
language_738,"[1, 0]"
language_739,"[0, 0]"
language_740,"[1, 0]"
language_741,"[1, 0]"
language_742,"[0, 0]"
language_744,"[1, 0]"
language_745,"[0, 0]"
language_746,"[1, 0]"
language_747,"[1, 0]"
language_748,"[1, 0]"
language_749,"[1, 0]"
