TYPE,TERM
mB,dhagaan
meB,d̪aga:n
myB,galumaay
meZ,bawa(d̪i)
mZ,pakan
mFZD,ngaaki
mMBD,thaatha
mFZS,thaatha
mMBS,thaatha
mFeZS,thaatha
mFyZS,thaatha
mFeZD,ngaaki
mFyZD,ngaaki
mMeBS,thaatha
mMyBS,thaatha
mMeBD,thaatha
mMyBD,thaatha
mFZeS,thaatha
mFZyS,thaatha
mFZeD,ngaaki
mFZyD,ngaaki
mMBeD,thaatha
mMByD,thaatha
mMZeD,thaatha
mMZyD,thaatha
mMBeS,thaatha
mMByS,thaatha
myZ,d̪awuran
mFB,papa
mFZ,pipi
mMB,-l-atɨ
mMZ,e'u
mFeB,papa
mFyB,papa
mFeZ,pipi
mFyZ,pipi
mMeZ,e'u
mMyZ,e'u
mMeB,-l-atɨ
mMyB,-l-atɨ
