TYPE,TERM
mZ,neweyits
meB,nemit
myB,neiku
meZ,nepin
myZ,neikeu
mFZD,neweyits
mFBD,neweyits
mMBD,neweyits
mMZD,neweyits
mFBS,nepa
mFZS,nepa
mMBS,nepa
mMZS,nepa
mFeBS,nepa
mFyBS,nepa
mFeZS,nepa
mFyZS,nepa
mFeBD,neweyits
mFyBD,neweyits
mFeZD,neweyits
mFyZD,neweyits
mMeBS,nepa
mMyBS,nepa
mMeZS,nepa
mMyZS,nepa
mMeBD,neweyits
mMyBD,neweyits
mMeZD,neweyits
mMyZD,neweyits
mFBeS,nepa
mFByS,nepa
mFZeS,nepa
mFZyS,nepa
mFBeD,neweyits
mFByD,neweyits
mFZeD,neweyits
mFZyD,neweyits
mMBeS,nepa
mMByS,nepa
mMZeS,nepa
mMZyS,nepa
mMBeD,neweyits
mMByD,neweyits
mMZeD,neweyits
mMZyD,neweyits
mFeB,maghiha
mFyB,maghiha
mMeB,maghiha
mMyB,maghiha
