TYPE,TERM
mB,dhagaan
meB,d̪aga:n
myB,galumaay
meZ,bawa(d̪i)
mZ,pakan
mFZD,ngaaki
mMBD,thaatha
mFZS,thaatha
mMBS,thaatha
mFeZS,thaatha
mFyZS,thaatha
mFeZD,ngaaki
mFyZD,ngaaki
mMeBS,thaatha
mMyBS,thaatha
mMeBD,thaatha
mMyBD,thaatha
mFZeS,thaatha
mFZyS,thaatha
mFZeD,ngaaki
mFZyD,ngaaki
mMBeD,thaatha
mMByD,thaatha
mMZeD,thaatha
mMZyD,thaatha
mMBeS,thaatha
mMByS,thaatha
myZ,d̪awuran
mFB,netsim
mFZ,netul
mMB,netsim
mMZ,netul
mFeB,netsim
mFyB,netsim
mFeZ,netul
mFyZ,netul
mMeZ,netul
mMyZ,netul
mMeB,netsim
mMyB,netsim
