TYPE,TERM
mB,dhagaan
meB,d̪aga:n
myB,galumaay
meZ,bawa(d̪i)
mZ,pakan
mFZD,ngaaki
mMBD,thaatha
mFZS,thaatha
mMBS,thaatha
mFeZS,thaatha
mFyZS,thaatha
mFeZD,ngaaki
mFyZD,ngaaki
mMeBS,thaatha
mMyBS,thaatha
mMeBD,thaatha
mMyBD,thaatha
mFZeS,thaatha
mFZyS,thaatha
mFZeD,ngaaki
mFZyD,ngaaki
mMBeD,thaatha
mMByD,thaatha
mMZeD,thaatha
mMZyD,thaatha
mMBeS,thaatha
mMByS,thaatha
myZ,d̪awuran
mFB,-tačču ɬašši
mFZ,kuku
mMB,kʸakʸa
mMZ,-c̷itta ɬašši
mFeB,-tačču ɬašši
mFyB,-tačču ɬašši
mFeZ,kuku
mFyZ,kuku
mMeZ,-c̷itta ɬašši
mMyZ,-c̷itta ɬašši
mMeB,kʸakʸa
mMyB,kʸakʸa
