TYPE,TERM
mZ,neweyits
meB,nemit
myB,neiku
meZ,nepin
myZ,neikeu
mFZD,neweyits
mFBD,neweyits
mMBD,neweyits
mMZD,neweyits
mFBS,nepa
mFZS,nepa
mMBS,nepa
mMZS,nepa
mFeBS,nepa
mFyBS,nepa
mFeZS,nepa
mFyZS,nepa
mFeBD,neweyits
mFyBD,neweyits
mFeZD,neweyits
mFyZD,neweyits
mMeBS,nepa
mMyBS,nepa
mMeZS,nepa
mMyZS,nepa
mMeBD,neweyits
mMyBD,neweyits
mMeZD,neweyits
mMyZD,neweyits
mFBeS,nepa
mFByS,nepa
mFZeS,nepa
mFZyS,nepa
mFBeD,neweyits
mFByD,neweyits
mFZeD,neweyits
mFZyD,neweyits
mMBeS,nepa
mMByS,nepa
mMZeS,nepa
mMZyS,nepa
mMBeD,neweyits
mMByD,neweyits
mMZeD,neweyits
mMZyD,neweyits
mFeB,"大伯, 伯伯"
mFyB,阿叔
mFeZ,"嬷嬷, 好伯"
mFyZ,娘娘
mMeB,"娘舅, 舅舅"
mMyB,"娘舅, 舅舅"
mMeZ,娘姨xx
